iter	RMSE
262	5007.442836
263	5003.394009
264	5001.079666
265	4995.67495
266	4989.819099
267	4987.309917
268	4980.796283
269	4976.848579
270	4971.607227
271	4966.949506
272	4963.372495
273	4957.920888
274	4954.044164
275	4953.530447
276	4947.45518
277	4946.540621
278	4941.465472
279	4940.966552
280	4937.890288
281	4935.984772
282	4932.129055
283	4929.809788
284	4929.323923
285	4928.136007
286	4925.967163
287	4922.819811
288	4919.707569
289	4914.788062
290	4908.849032
291	4904.20661
292	4903.454703
293	4896.558629
294	4894.169552
295	4889.334508
296	4887.610546
297	4882.511909
298	4881.207506
299	4877.445518
300	4877.270025
301	4876.335707
302	4874.187972
303	4870.278102
304	4868.663503
305	4861.732857
306	4858.776221
307	4853.529352
308	4850.297715
309	4850.039093
310	4849.91697
311	4847.056339
312	4846.388894
313	4841.190434
314	4840.979793
315	4836.53173
316	4835.932994
317	4835.718235
318	4834.33187
319	4831.406154
320	4824.297808
321	4820.562975
322	4816.894311
323	4813.939911
324	4812.908053
325	4807.43105
326	4807.201134
327	4805.164637
328	4800.859578
329	4797.98275
330	4793.67075
331	4790.535763
332	4789.564063
333	4788.378841
334	4788.268921
335	4785.425803
336	4785.333948
337	4781.418513
338	4780.186258
339	4777.30167
340	4774.523383
341	4770.34502
342	4767.393792
343	4763.917433
344	4759.720619
345	4755.417735
346	4755.369824
347	4755.294464
348	4752.791879
349	4750.030969
350	4748.484979
351	4746.626243
352	4742.609649
353	4740.681832
354	4735.161609
355	4732.019395
356	4729.063846
357	4729.02443
358	4727.263926
359	4724.436331
360	4722.318641
361	4717.20037
362	4716.638205
363	4713.322329
364	4713.259797
365	4711.652929
366	4709.864942
367	4707.949671
368	4704.188218
369	4704.149611
370	4699.78916
371	4697.821823
372	4696.204298
373	4694.420185
374	4692.319244
375	4689.410377
376	4687.22203
377	4684.856483
378	4682.593105
379	4682.447008
380	4677.729072
381	4676.962473
382	4673.427841
383	4671.442774
384	4668.433051
385	4665.967034
386	4663.076971
387	4662.986796
388	4659.872406
389	4659.774284
390	4656.35185
391	4655.288077
392	4653.126465
393	4651.291921
394	4649.670849
395	4647.044148
396	4642.407328
397	4641.342756
398	4637.176792
399	4637.079446
400	4632.955684
401	4631.411561
402	4630.026912
403	4629.615958
404	4628.263316
405	4624.275756
406	4620.830577
407	4618.608269
408	4618.546599
409	4617.59198
410	4616.897016
411	4611.880113
412	4609.022158
413	4607.660157
414	4604.645323
415	4603.100995
416	4602.977063
417	4602.942279
418	4601.051764
419	4598.452069
420	4597.20011
421	4593.050653
422	4589.78546
423	4586.433892
424	4586.285415
425	4583.311139
426	4581.70794
427	4579.639924
428	4579.614175
429	4576.588113
430	4574.864707
431	4574.061252
432	4572.101991
433	4568.210206
434	4565.795967
435	4565.610872
436	4564.974246
437	4561.416408
438	4556.418161
439	4553.924077
4441	4455.4516854442	4454.0129254443	4452.5564824444	4451.1449684445	4449.7307445446	4447.9244446447	4444.890644448	4442.1702244449	4441.5221644450	4441.1670745451	4441.1063845452	4440.1198745453	4438.1158545454	4436.8988745455	4436.1780845456	4434.3780345457	4432.714554458	4430.6234345459	4428.8120245460	4427.8946446461	4427.5242461462	4426.547462	463	4425.599463	464	4423.922464	465	4421.513465	466	4421.4579
467	4418.837012
468	4418.281331
469	4415.098926
470	4412.996118
471	4410.0907
472	4408.80305
473	4407.71313
474	4405.871497
475	4404.316685
476	4402.995494
477	4400.834751
478	4400.203746
479	4396.852483
480	4395.560726
481	4393.214131
482	4392.360103
483	4391.324242
484	4391.204895
485	4390.813873
486	4390.298562
487	4388.824139
488	4387.52547
489	4387.072786
490	4386.937641
491	4386.87058
492	4385.618225
493	4383.562783
494	4383.460115
495	4381.773537
496	4381.341988
497	4379.050554
498	4377.08262
499	4375.734138
500	4373.666974
501	4373.146826
502	4371.158528
503	4369.621123
504	4366.811173
505	4366.467268
506	4364.981624
507	4363.189075
508	4362.733769
509	4360.00259
510	4356.579078
511	4356.487312
512	4356.381154
513	4355.708821
514	4353.433689
515	4352.732655
516	4350.914131
517	4350.262304
518	4348.532736
519	4347.601349
520	4346.139706
521	4344.743587
522	4342.711534
523	4342.514269
524	4342.426137
525	4341.662617
526	4339.650644
527	4337.974334
528	4335.899369
529	4335.848841
530	4334.276765
531	4333.807797
532	4333.277753
533	4333.195021
534	4331.89341
535	4331.107487
536	4329.44606
537	4326.673435
538	4326.140067
539	4325.300334
540	4324.41647
541	4322.815505
542	4320.100028
543	4318.733095
544	4317.273951
545	4314.686961
546	4314.596928
547	4312.048378
548	4311.979769
549	4311.452844
550	4309.557615
551	4308.575421
552	4307.079727
553	4304.956001
554	4304.358993
555	4302.132033
556	4301.245456
557	4301.181972
558	4299.906401
559	4299.271791
560	4298.565157
561	4298.451184
562	4298.125026
563	4297.870141
564	4297.011573
565	4295.761315
566	4295.57909
567	4294.385859
568	4293.42764
569	4292.268012
570	4291.309887
571	4289.54662
572	4287.844506
573	4287.120742
574	4286.198821
575	4286.15143
576	4284.952255
577	4283.407317
578	4282.598331
579	4280.754325
580	4279.640637
581	4276.924057
582	4276.55534
583	4275.62875
584	4274.295888
585	4271.492395
586	4271.063028
587	4268.976006
588	4267.930668
589	4267.053366
590	4265.53654
591	4263.777714
592	4262.506236
593	4261.741788
594	4261.035982
595	4258.68144
596	4258.334323
597	4258.00161
598	4257.153399
599	4256.75513
600	4255.521893
601	4254.704356
602	4253.631034
603	4253.350681
604	4252.357231
605	4251.730695
606	4251.382509
607	4249.508415
608	4249.351528
609	4247.931101
610	4246.132102
611	4243.608037
612	4242.747283
613	4242.292804
614	4240.544855
615	4238.78704
616	4237.96576
617	4236.543388
618	4236.040352
619	4234.585669
620	4234.326459
621	4233.753104
622	4231.299531
623	4229.536995
624	4228.182969
625	4227.092795
626	4226.92731
627	4225.498127
628	4223.827236
629	4223.053244
630	4222.985137
631	4221.722872
632	4221.012263
633	4220.960385
634	4218.748753
635	4218.082806
636	4216.758914
637	4215.555537
638	4215.383364
639	4213.839033
640	4212.238366
641	4210.791001
642	4209.761122
643	4208.196555
644	4206.440598
645	4205.778122
646	4205.682299
647	4205.041517
648	4204.574423
649	4203.044684
650	4202.31083
651	4202.200959
652	4201.423748
653	4200.316781
654	4200.139435
655	4198.694497
656	4197.343766
657	4196.706187
658	4196.642002
659	4195.87116
660	4195.108179
661	4193.731644
662	4193.079597
663	4192.510097
664	4191.790985
665	4190.859794
666	4189.716602
667	4189.365556
668	4188.308627
669	4188.114533
670	4186.596644
671	4185.037013
672	4184.809509
673	4184.432066
674	4183.288207
675	4182.525275
676	4181.708021
677	4179.454084
678	4179.32736
679	4177.720428
680	4176.433296
681	4175.326771
682	4174.187476
683	4173.089627
684	4172.403065
685	4171.835367
686	4171.518719
687	4170.695323
688	4169.480552
689	4169.428026
690	4167.873331
691	4167.141336
692	4165.74079
693	4165.054004
694	4164.067116
695	4163.736489
696	4163.343397
697	4162.794099
698	4161.908458
699	4161.269046
700	4160.562726
701	4159.755252
702	4158.689159
703	4157.844852
704	4156.178135
705	4155.6565
706	4155.277065
707	4154.238184
708	4153.144444
709	4152.621607
710	4151.793646
711	4151.332797
712	4149.482663
713	4149.194186
714	4148.413988
715	4147.830955
716	4147.524693
717	4146.939082
718	4146.147338
719	4145.364233
720	4145.309753
721	4144.291949
722	4143.461117
723	4142.942147
724	4141.743308
725	4141.305021
726	4140.62281
727	4140.309914
728	4139.415861
729	4138.6088
730	4137.963851
731	4137.646556
732	4136.822854
733	4136.441593
734	4134.953632
735	4133.862117
736	4132.728213
737	4131.289573
738	4131.263392
739	4131.044324
740	4130.502539
741	4130.286104
742	4129.979566
743	4129.373389
744	4128.584745
745	4127.521494
746	4127.099213
747	4125.805461
748	4125.391147
749	4124.329956
750	4124.237902
751	4123.32025
752	4122.874538
753	4121.259559
754	4120.56087
755	4120.144562
756	4119.762182
757	4119.651093
758	4118.943384
759	4118.823894
760	4118.26279
761	4117.437889
762	4116.843947
763	4116.171261
764	4115.426579
765	4114.930014
766	4114.293428
767	4113.701579
768	4113.449224
769	4112.146705
770	4111.139265
771	4110.377586
772	4110.048512
773	4109.980504
774	4109.039763
775	4108.647386
776	4108.383781
777	4107.457088
778	4106.608958
779	4106.221445
780	4105.057226
781	4104.197443
782	4103.337146
783	4102.527007
784	4101.390637
785	4101.013398
786	4100.417146
787	4099.666032
788	4098.829213
789	4097.848947
790	4097.089384
791	4096.64644
792	4096.165318
793	4095.585478
794	4095.423066
795	4094.406236
796	4093.704892
797	4093.068101
798	4092.60474
799	4091.803562
800	4091.294054
801	4090.349961
802	4090.133421
803	4090.06887
804	4089.996894
805	4089.21048
806	4088.124533
807	4087.265496
808	4086.72065
809	4085.65618
810	4085.185149
811	4084.90641
812	4084.397163
813	4083.65486
814	4082.689047
815	4082.421832
816	4081.285141
817	4080.384823
818	4079.299968
819	4079.099458
820	4078.858773
821	4078.636477
822	4078.474422
823	4078.06515
824	4077.322079
825	4076.212772
826	4075.514863
827	4074.394607
828	4073.699095
829	4072.802915
830	4071.931161
831	4071.609363
832	4070.72406
833	4070.202388
834	4069.327643
835	4068.707246
836	4068.492337
837	4067.903323
838	4067.448262
839	4066.856722
840	4065.901034
841	4065.553884
842	4065.447674
843	4065.340152
844	4064.459847
845	4063.873108
846	4063.322067
847	4063.169245
848	4062.89637
849	4062.674894
850	4062.178639
851	4061.547704
852	4061.02372
853	4060.305499
854	4059.769549
855	4058.62518
856	4058.582944
857	4058.218112
858	4057.515609
859	4057.274011
860	4056.996965
861	4056.404864
862	4056.177929
863	4055.464107
864	4055.039473
865	4054.209066
866	4053.6934
867	4053.208156
868	4052.885786
869	4052.548731
870	4051.74884
871	4051.171254
872	4050.82296
873	4050.6696
874	4049.63039
875	4049.542895
876	4049.269504
877	4048.64369
878	4048.251622
879	4047.650743
880	4047.468185
881	4046.537136
882	4046.278799
883	4046.150587
884	4045.359289
885	4044.744195
886	4043.856622
887	4043.463817
888	4043.14447
889	4043.074343
890	4042.964273
891	4042.101659
892	4041.544936
893	4040.646565
894	4040.204354
895	4039.255892
896	4038.829801
897	4038.143504
898	4037.521824
899	4036.981257
900	4036.832143
901	4036.763735
902	4036.717305
903	4036.045851
904	4035.376839
905	4034.974783
906	4034.560647
907	4033.99098
908	4033.644826
909	4033.305724
910	4032.794128
911	4032.720249
912	4032.261865
913	4032.03677
914	4031.613705
915	4030.900607
916	4030.618758
917	4029.809648
918	4029.304619
919	4029.218726
920	4028.911856
921	4028.30852
922	4028.259845
923	4027.997629
924	4027.583914
925	4027.111006
926	4026.801373
927	4026.794653
928	4026.535506
929	4025.808354
930	4025.338998
931	4024.715723
932	4024.146012
933	4023.700741
934	4023.15007
935	4022.932595
936	4022.727677
937	4022.218343
938	4021.514155
939	4021.261979
940	4020.666784
941	4020.522534
942	4019.921113
943	4019.874942
944	4019.607942
945	4019.308453
946	4018.334816
947	4018.22706
948	4017.679818
949	4017.430032
950	4016.999006
951	4016.852616
952	4016.44222
953	4015.851688
954	4015.081307
955	4014.775802
956	4014.043251
957	4013.845482
958	4013.303469
959	4013.216339
960	4012.757368
961	4012.449566
962	4012.32268
963	4011.893853
964	4011.518402
965	4011.054419
966	4010.875335
967	4010.285582
968	4010.023199
969	4009.28628
970	4009.035949
971	4008.531193
972	4007.973711
973	4007.427493
974	4007.157559
975	4006.766024
976	4006.252116
977	4005.540867
978	4005.276323
979	4005.054025
980	4004.7323
981	4004.650049
982	4004.60995
983	4004.412743
984	4004.11675
985	4003.405166
986	4003.261486
987	4003.194605
988	4003.172305
989	4002.894139
990	4002.343978
991	4001.67662
992	4001.024576
993	4000.755582
994	4000.355116
995	4000.019117
996	3999.989535
997	3999.792785
998	3999.682383
999	3999.673017
5
997	4038.853811
998	4038.257793
999	4038.054932
