날짜,NOK/USD,USD/KRW,NOK/KRW,dNOK/KRW
2022-01-14,0.1148823127,1186.609985,136.3204994,-0.005474690705
2022-01-17,0.1139704958,1188.959961,135.5063562,-0.005972272873
2022-01-18,0.1147736683,1190.060059,136.5875585,0.007978978428
2022-01-19,0.1135665402,1192.97998,135.4826089,-0.008089679651
2022-01-20,0.113949731,1188.160034,135.3905163,-0.0006797375541
2022-01-21,0.11319682,1192.430054,134.9792902,-0.003037333077
2022-01-24,0.1123835444,1191.5,133.9049932,-0.007958976295
2022-01-25,0.1115958095,1195.660034,133.4306494,-0.003542391079
2022-01-26,0.1121627018,1196.099976,134.1578049,0.005449688794
2022-01-27,0.1118730977,1200.630005,134.3181979,0.001195554682
2022-01-28,0.1119070128,1203.459961,134.6756092,0.00266093018
2022-01-31,0.1112347096,1207.709961,134.3392668,-0.0024974262
2022-02-01,0.1123178974,1205.119995,135.3565439,0.007572448138
2022-02-02,0.113288641,1202.5,136.2295908,0.00644997875
2022-02-03,0.1134328246,1199.959961,136.1148478,-0.0008422765046
2022-02-04,0.114712052,1200.329956,137.6923124,0.0115892177
2022-02-07,0.1138876975,1197.089966,136.3338199,-0.009866146567
2022-02-08,0.1140176803,1196.849976,136.4620579,0.0009406177481
2022-02-09,0.1133991256,1196.359985,135.6661763,-0.005832255474
2022-02-10,0.1134787872,1194.030029,135.4970797,-0.001246416993
2022-02-11,0.1133118793,1199.349976,135.9005997,0.002978072003
2022-02-14,0.1128821075,1199.23999,135.3727375,-0.003884178774
2022-02-15,0.1125728115,1197.359985,134.79018,-0.004303359162
2022-02-16,0.1123565212,1196.829956,134.4716503,-0.002363151855
2022-02-17,0.1124126017,1196.75,134.5297811,0.0004322902129
2022-02-18,0.1121705025,1198.660034,134.4542984,-0.0005610853031
2022-02-21,0.1114094481,1195.069946,133.1420831,-0.009759563558
2022-02-22,0.111081861,1194.680054,132.7072836,-0.003265680647
2022-02-23,0.1124889776,1192.680054,134.1633599,0.01097208987
2022-02-24,0.1124573573,1192.400024,134.0941556,-0.0005158205117
2022-02-25,0.1116101369,1206.0,134.6018251,0.003785918069
2022-02-28,0.1120424345,1197.589966,134.1808953,-0.003127222183
2022-03-01,0.1135586798,1200.930054,136.3760315,0.01635952816
2022-03-02,0.1127132624,1205.369995,135.8611846,-0.003775200477
