날짜,방어(자연)_대,d방어(자연)_대
2018-01-04,15904,0.02001026167
2018-01-05,16004,0.006287726358
2018-01-06,16895,0.0556735816
2018-01-08,18338,0.08540988458
2018-01-09,18121,-0.01183335151
2018-01-10,15599,-0.1391755422
2018-01-11,16798,0.07686390153
2018-01-12,16987,0.01125133945
2018-01-13,17961,0.05733796433
2018-01-15,14998,-0.164968543
2018-01-16,12373,-0.1750233364
2018-01-17,13148,0.06263638568
2018-01-18,17440,0.326437481
2018-01-19,14970,-0.1416284404
2018-01-20,15817,0.05657982632
2018-01-22,12776,-0.1922614908
2018-01-23,14664,0.147777082
2018-01-24,14468,-0.01336606656
2018-01-25,14065,-0.02785457562
2018-01-26,16113,0.1456096694
2018-01-27,16840,0.04511884814
2018-01-29,15690,-0.06828978622
2018-01-30,15136,-0.03530911409
2018-01-31,17059,0.1270480973
2018-02-01,19423,0.1385778768
2018-02-02,18891,-0.02739020749
2018-02-03,16329,-0.1356201366
2018-02-05,18310,0.1213179007
2018-02-06,14607,-0.2022392135
2018-02-07,15770,0.07961936058
2018-02-08,14893,-0.05561192137
2018-02-09,14677,-0.014503458
2018-02-10,16719,0.1391292498
2018-02-12,14285,-0.1455828698
2018-02-13,11784,-0.1750787539
2018-02-14,14829,0.258401222
2018-02-15,15224,0.02663699508
2018-02-19,13352,-0.1229637415
2018-02-20,14802,0.1085979629
2018-02-21,14111,-0.04668288069
2018-02-22,15588,0.1046701155
2018-02-23,14682,-0.05812163202
2018-02-24,15504,0.05598692276
2018-02-26,16240,0.04747162023
2018-02-27,17995,0.1080665025
2018-02-28,17178,-0.04540150042
2018-03-01,9907,-0.4232739551
2018-03-02,16298,0.6450994246
2018-03-03,17636,0.08209596269
2018-03-05,11459,-0.3502494897
2018-03-06,10235,-0.1068156035
2018-03-07,14647,0.4310698583
2018-03-08,12928,-0.1173619171
2018-03-09,13944,0.07858910891
2018-03-10,8835,-0.366394148
2018-03-12,13944,0.5782682513
2018-03-13,4113,-0.7050344234
2018-03-14,5859,0.4245076586
2018-03-15,1100,-0.812254651
2018-03-16,1100,0.0
2018-03-17,1100,0.0
2018-03-19,1100,0.0
2018-03-20,1100,0.0
2018-03-21,1100,0.0
2018-03-22,1100,0.0
2018-03-23,1100,0.0
2018-03-24,1100,0.0
2018-03-26,3361,2.055454545
2018-03-27,3361,0.0
2018-03-28,3361,0.0
2018-03-29,3361,0.0
2018-03-30,3361,0.0
2018-03-31,3361,0.0
2018-04-02,3361,0.0
2018-04-03,3361,0.0
2018-04-04,3361,0.0
2018-04-05,3361,0.0
2018-04-06,3361,0.0
2018-04-07,3361,0.0
2018-04-09,3361,0.0
2018-04-10,3361,0.0
2018-04-11,3361,0.0
2018-04-12,7845,1.334126748
2018-04-13,7845,0.0
2018-04-14,2512,-0.6797960484
2018-04-16,5546,1.207802548
2018-04-17,3498,-0.3692751533
2018-04-19,3586,0.0251572327
2018-04-20,3586,0.0
2018-04-21,5319,0.4832682655
2018-04-23,4961,-0.06730588456
2018-04-24,5243,0.05684337835
2018-04-25,7640,0.4571810032
2018-04-26,8092,0.05916230366
2018-04-27,6662,-0.1767177459
2018-04-28,5556,-0.1660162113
2018-04-30,6380,0.1483081353
2018-05-01,7381,0.1568965517
2018-05-02,8524,0.1548570654
2018-05-03,6337,-0.2565696856
2018-05-04,6047,-0.04576297933
2018-05-05,6670,0.103026294
2018-05-07,6670,0.0
2018-05-08,8119,0.2172413793
2018-05-09,8489,0.04557211479
2018-05-10,9471,0.1156791141
2018-05-11,8755,-0.07559919755
2018-05-12,8755,0.0
2018-05-14,7453,-0.14871502
2018-05-15,5648,-0.2421843553
2018-05-16,6117,0.08303824363
2018-05-17,5888,-0.03743665195
2018-05-18,6755,0.1472486413
2018-05-19,7738,0.1455218357
2018-05-21,6186,-0.2005686224
2018-05-22,6186,0.0
2018-05-23,6008,-0.02877465244
2018-05-24,5822,-0.0309587217
2018-05-25,4390,-0.2459635864
2018-05-26,4390,0.0
2018-05-28,7000,0.5945330296
2018-05-29,6000,-0.1428571429
2018-05-30,5961,-0.0065
2018-05-31,7743,0.2989431303
2018-06-01,8490,0.09647423479
2018-06-02,8490,0.0
2018-06-04,8681,0.02249705536
2018-06-05,8681,0.0
2018-06-06,8681,0.0
2018-06-07,9106,0.04895749338
2018-06-08,9106,0.0
2018-06-09,824,-0.909510213
2018-06-11,823,-0.001213592233
2018-06-12,823,0.0
2018-06-13,12548,14.24665857
2018-06-14,12548,0.0
2018-06-15,4071,-0.6755658272
2018-06-16,4071,0.0
2018-06-18,4071,0.0
2018-06-19,4245,0.04274134119
2018-06-20,8000,0.8845700824
2018-06-21,8289,0.036125
2018-06-22,11900,0.435637592
2018-06-23,5167,-0.5657983193
2018-06-25,5668,0.09696148636
2018-06-26,8330,0.469654199
2018-06-27,3540,-0.575030012
2018-06-28,9934,1.806214689
2018-06-29,7456,-0.2494463459
2018-06-30,2000,-0.7317596567
2018-07-02,2595,0.2975
2018-07-03,3185,0.2273603083
2018-07-04,2135,-0.3296703297
2018-07-05,2135,0.0
2018-07-06,5480,1.566744731
2018-07-07,5480,0.0
2018-07-09,3173,-0.4209854015
2018-07-10,5085,0.6025843051
2018-07-11,4222,-0.1697148476
2018-07-12,2277,-0.4606821412
2018-07-13,5823,1.557312253
2018-07-14,5336,-0.0836338657
2018-07-16,5336,0.0
2018-07-17,5336,0.0
2018-07-18,4317,-0.1909670165
2018-07-19,4317,0.0
2018-07-20,4317,0.0
2018-07-21,3518,-0.185082233
2018-07-23,1614,-0.5412166003
2018-07-24,9775,5.05638166
2018-07-25,4093,-0.5812787724
2018-07-26,1000,-0.75568043
2018-07-27,5200,4.2
2018-07-28,5500,0.05769230769
2018-07-30,3193,-0.4194545455
2018-07-31,3193,0.0
2018-08-01,3193,0.0
2018-08-02,3193,0.0
2018-08-03,3193,0.0
2018-08-06,5711,0.7886000626
2018-08-07,3950,-0.3083523026
2018-08-08,5699,0.4427848101
2018-08-09,1828,-0.6792419723
2018-08-10,1100,-0.398249453
2018-08-11,1100,0.0
2018-08-13,1100,0.0
2018-08-14,1100,0.0
2018-08-15,1100,0.0
2018-08-16,1100,0.0
2018-08-17,1100,0.0
2018-08-18,1100,0.0
2018-08-20,3750,2.409090909
2018-08-21,4263,0.1368
2018-08-22,4263,0.0
2018-08-23,17000,2.987802017
2018-08-24,17000,0.0
2018-08-25,17000,0.0
2018-08-27,17000,0.0
2018-08-28,17000,0.0
2018-08-29,3500,-0.7941176471
2018-08-30,6046,0.7274285714
2018-09-05,6820,0.1280185246
2018-09-06,5407,-0.2071847507
2018-09-07,7504,0.38783059
2018-09-08,2960,-0.60554371
2018-09-10,4031,0.3618243243
2018-09-11,4581,0.1364425701
2018-09-12,3899,-0.1488757913
2018-09-13,4575,0.1733777892
2018-09-14,5300,0.1584699454
2018-09-15,5300,0.0
2018-09-17,9200,0.7358490566
2018-09-18,10606,0.152826087
2018-09-19,8492,-0.199321139
2018-09-20,7849,-0.07571832313
2018-09-21,8662,0.1035800739
2018-09-22,8662,0.0
2018-09-27,6200,-0.28422997
2018-09-28,3307,-0.4666129032
2018-09-29,3307,0.0
2018-10-01,3307,0.0
2018-10-02,3466,0.04807983066
2018-10-03,6938,1.001731102
2018-10-04,6938,0.0
2018-10-05,7851,0.1315941193
2018-10-06,7851,0.0
2018-10-08,7851,0.0
2018-10-09,4512,-0.4252961406
2018-10-10,3588,-0.204787234
2018-10-11,6183,0.7232441472
2018-10-12,5943,-0.03881610869
2018-10-13,5943,0.0
2018-10-15,5943,0.0
2018-10-16,4607,-0.2248022884
2018-10-17,7828,0.6991534621
2018-10-18,8009,0.0231221257
2018-10-19,14495,0.8098389312
2018-10-20,14495,0.0
2018-10-22,14495,0.0
2018-10-23,4052,-0.7204553294
2018-10-24,4052,0.0
2018-10-25,5120,0.2635735439
2018-10-26,9568,0.86875
2018-10-27,9568,0.0
2018-10-29,9568,0.0
2018-10-30,8379,-0.1242683946
2018-10-31,8379,0.0
2018-11-01,7272,-0.1321160043
2018-11-02,7272,0.0
2018-11-03,8994,0.2367986799
2018-11-05,8994,0.0
2018-11-06,4949,-0.449744274
2018-11-07,3926,-0.2067084259
2018-11-08,5409,0.3777381559
2018-11-09,9263,0.7125161767
2018-11-10,9263,0.0
2018-11-12,9263,0.0
2018-11-13,9263,0.0
2018-11-14,9195,-0.007341034222
2018-11-15,9195,0.0
2018-11-16,10903,0.1857531267
2018-11-17,10903,0.0
2018-11-19,10903,0.0
2018-11-20,7618,-0.301293222
2018-11-21,8679,0.1392754004
2018-11-22,7158,-0.1752506049
2018-11-23,9465,0.3222967309
2018-11-24,12986,0.372002113
2018-11-26,12443,-0.04181426151
2018-11-27,11418,-0.08237563289
2018-11-28,11418,0.0
2018-11-29,13992,0.225433526
2018-11-30,14190,0.0141509434
2018-12-01,14190,0.0
2018-12-03,13854,-0.02367864693
2018-12-04,13854,0.0
2018-12-05,16091,0.1614696117
2018-12-06,16925,0.05183021565
2018-12-07,15137,-0.1056425406
