기준시장,어종,변수,타임래그,상관관계,P-value,파일명,변수명
전체평균,우럭,KOSPI,155,0.6998,1.24E-31,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",KOSPI
전체평균,우럭,USD/KRW,121,0.6977,2.51E-36,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",USD/KRW
전체평균,우럭,VIX,38,0.4799,5.26E-20,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",VIX
전체평균,우럭,WTI,14,-0.6190,4.33E-38,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",WTI
전체평균,우럭,GOLD,146,0.8512,1.53E-61,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",Gold
전체평균,우럭,SILVER,125,0.8526,6.69E-68,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",Silver
전체평균,우럭,MOVE,-,-,-,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",MOVE
전체평균,참돔,KOSPI,438,0.6132,4.55E-133,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",KOSPI
전체평균,참돔,USD/KRW,11,0.7644,0.00E+00,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",USD/KRW
전체평균,참돔,VIX,-,-,-,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",VIX
전체평균,참돔,WTI,150,0.7353,7.45E-267,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",WTI
전체평균,참돔,GOLD,-,-,-,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",Gold
전체평균,참돔,SILVER,-,-,-,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",Silver
전체평균,참돔,MOVE,201,0.7849, 2.6894e-317,"d경제지표(KOSPI, 원달러, WTI, VIX, 금, 은, MOVE)",MOVE
