itemId,itemName,stateDesc,raisedDesc,originDesc,regionDesc,salesUnitQuantity,unitDesc,sizeDesc,sizeCriteria,storeCount
20066,블랙타이거새우,냉동,양식,수입산,말레이시아,1,마리,소소,30마리내외,2
20068,흰다리새우,냉동,양식,수입산,에콰도르,1,kg,소소,45마리내외,1
20069,흰다리새우,냉동,양식,수입산,에콰도르,1,kg,소,35마리내외,2
20070,흰다리새우,냉동,양식,수입산,에콰도르,1,kg,중,30마리내외,4
20071,흰다리새우,냉동,양식,수입산,에콰도르,1,kg,대,25마리내외,5
20072,흰다리새우,냉동,양식,수입산,에콰도르,1,kg,특대,20마리내외,1
20141,흰다리새우,냉동,양식,수입산,에콰도르,500,g,소,35마리내외,1
20142,흰다리새우,냉동,양식,수입산,에콰도르,500,g,중,30마리내외,1
20147,흰다리새우,냉동,양식,수입산,페루,500,g,중,30마리내외,2
20183,민어,선어,자연산,국산,서해,1,마리,소,1~3kg미만,1
20220,붉바리,활어,양식,국산,남해,1,kg,중,1~2kg미만,1
20249,레드 킹크랩,활어,자연산,수입산,러시아,1,kg,특대,4kg이상,9
20273,랍스터,활어,자연산,수입산,캐나다,1,kg,특대,4kg이상,7
21293,레드 킹크랩,선어,자연산,수입산,러시아,1,마리,중,2~3kg미만,1
