s_query,market,store,store_id,comments,like,rating
평촌,안양평촌농수산물시장,목포수산,182,817,1250,4.8
평촌,안양평촌농수산물시장,명신수산,1205,929,853,5.0
평촌,안양평촌농수산물시장,바이킹수산,1376,369,210,5.0
평촌,안양평촌농수산물시장,꽃게바다,1284,188,112,4.7
평촌,안양평촌농수산물시장,싱싱수산,1358,818,517,4.9
소래포구,소래포구종합어시장,지원이네,310,6775,4507,4.9
소래포구,소래포구종합어시장,레인보우수산,516,2187,1358,4.9
소래포구,소래포구종합어시장,해심수산,1025,2813,1753,4.9
소래포구,소래포구종합어시장,서천수산,1405,224,261,4.9
소래포구,소래포구종합어시장,지원이네2호점,1033,612,413,4.9
소래포구,소래포구종합어시장,해남수산,1165,202,185,4.7
연안부두,인천종합연안부두어시장,서림상회,646,3051,2769,4.9
연안부두,인천종합연안부두어시장,어촌,1419,213,240,5.0
연안부두,인천종합연안부두어시장,슈퍼크랩,1381,358,634,4.8
연안부두,인천종합연안부두어시장,셋째네,1050,1861,1020,4.7
연안부두,인천종합연안부두어시장,정현상회,639,768,952,4.9
연안부두,인천종합연안부두어시장,해선수산,1370,156,448,4.8
연안부두,인천종합연안부두어시장,후니푸드,1377,217,468,4.7
연안부두,인천종합연안부두어시장,자매상회,651,648,472,4.1
연안부두,인천종합연안부두어시장,한일수산,1057,236,265,4.6
부산,부산민락어민활어직판장,수평선,123,559,891,4.9
부산,부산민락어민활어직판장,카츠교,338,790,794,4.9
부산,부산민락어민활어직판장,백년손님,433,395,684,4.9
부산,부산민락어민활어직판장,대구택이네,388,103,122,4.9
부산,부산민락어민활어직판장,남해 용수호,122,133,170,4.9
