날짜,광어_대,광어_중,광어_소,d광어_대,d광어_중,d광어_소
2018-01-03,21029.0,13823.0,3281.0,0.0,0.0,0.0
2018-01-04,20694.0,13933.0,10459.0,-0.01593038185,0.007957751573,2.187747638
2018-01-05,22167.0,20336.0,16440.0,0.07118005219,0.4595564487,0.5718519935
2018-01-08,21841.0,21460.0,19800.0,-0.01470654577,0.05527143981,0.204379562
2018-01-09,20590.0,16115.0,12970.0,-0.05727759718,-0.2490680336,-0.3449494949
2018-01-10,15111.0,12360.0,11070.0,-0.2661000486,-0.2330127211,-0.1464919044
2018-01-11,20189.0,17376.0,12038.0,0.3360465886,0.4058252427,0.0874435411
2018-01-12,21321.0,21000.0,20750.0,0.0560701372,0.2085635359,0.7237082572
2018-01-15,21600.0,18208.0,12000.0,0.01308569016,-0.132952381,-0.421686747
2018-01-16,21153.0,16733.0,11383.0,-0.02069444444,-0.08100834798,-0.05141666667
2018-01-17,19500.0,17737.0,16125.0,-0.07814494398,0.06000119524,0.4165861372
2018-01-18,20703.0,20306.0,15190.0,0.06169230769,0.1448384732,-0.05798449612
2018-01-19,20176.0,15367.0,12242.0,-0.02545524803,-0.2432286024,-0.1940750494
2018-01-22,21205.0,20230.0,14726.0,0.05100118953,0.3164573437,0.2029080216
2018-01-23,18540.0,10739.0,3227.0,-0.1256779062,-0.4691547207,-0.7808637784
2018-01-24,20687.0,20192.0,19876.0,0.1158036677,0.8802495577,5.159281066
2018-01-25,18751.0,15609.0,14350.0,-0.09358534345,-0.2269710777,-0.2780237472
2018-01-26,21355.0,16715.0,13182.0,0.1388725935,0.07085655711,-0.08139372822
2018-01-29,19849.0,17469.0,13519.0,-0.07052212597,0.04510918337,0.02556516462
2018-01-30,18823.0,13842.0,11067.0,-0.05169026147,-0.2076249356,-0.181374362
2018-01-31,19000.0,16162.0,15500.0,0.00940338947,0.1676058373,0.4005602241
2018-02-01,17984.0,15500.0,15500.0,-0.05347368421,-0.04096027719,0.0
2018-02-02,21536.0,19337.0,15621.0,0.1975088968,0.2475483871,0.007806451613
2018-02-05,19000.0,17333.0,15500.0,-0.117756315,-0.1036355174,-0.007745982972
2018-02-06,21382.0,19734.0,15375.0,0.1253684211,0.1385218947,-0.008064516129
2018-02-07,21000.0,19880.0,19000.0,-0.01786549434,0.007398398703,0.2357723577
2018-02-08,16032.0,14517.0,13245.0,-0.2365714286,-0.2697686117,-0.3028947368
2018-02-09,21016.0,19747.0,15303.0,0.3108782435,0.3602672729,0.1553793884
2018-02-12,18213.0,12984.0,10685.0,-0.1333745718,-0.3424824024,-0.3017708946
2018-02-13,20115.0,17833.0,13769.0,0.104430901,0.3734596426,0.288628919
2018-02-14,21000.0,17305.0,11819.0,0.04399701715,-0.02960803006,-0.1416224853
2018-02-19,21000.0,17305.0,11819.0,0.0,0.0,0.0
2018-02-20,20978.0,18674.0,14913.0,-0.001047619048,0.07911008379,0.2617818766
2018-02-21,20365.0,19005.0,17320.0,-0.02922108876,0.01772517939,0.1614028029
2018-02-22,18469.0,11782.0,10854.0,-0.09310090842,-0.3800578795,-0.3733256351
2018-02-23,20909.0,18898.0,15508.0,0.1321132709,0.6039721609,0.4287820158
2018-02-26,19000.0,17170.0,15500.0,-0.09130039696,-0.09143824743,-0.0005158627805
2018-02-27,21500.0,19678.0,15500.0,0.1315789474,0.1460687245,0.0
2018-02-28,20000.0,19031.0,15627.0,-0.06976744186,-0.03287935766,0.008193548387
2018-03-02,20264.0,18841.0,15500.0,0.0132,-0.009983710788,-0.008126959749
2018-03-05,20000.0,17473.0,15000.0,-0.01302803,-0.07260761106,-0.03225806452
2018-03-06,20000.0,16865.0,15000.0,0.0,-0.03479654324,0.0
2018-03-07,20000.0,18569.0,15000.0,0.0,0.1010376519,0.0
2018-03-08,20500.0,19304.0,15000.0,0.025,0.0395820992,0.0
2018-03-09,22500.0,20749.0,19796.0,0.09756097561,0.07485495234,0.3197333333
2018-03-12,23425.0,23041.0,22327.0,0.04111111111,0.1104631549,0.1278541119
2018-03-13,21940.0,18389.0,15542.0,-0.06339381003,-0.2019009592,-0.3038921485
2018-03-14,18742.0,15007.0,14000.0,-0.1457611668,-0.1839142966,-0.09921503024
2018-03-15,18742.0,15007.0,14000.0,0.0,0.0,0.0
2018-03-16,22812.0,21872.0,17510.0,0.2171593213,0.4574531885,0.2507142857
2018-03-19,21420.0,14883.0,10904.0,-0.06102051552,-0.3195409656,-0.3772701314
2018-03-20,21186.0,14017.0,10761.0,-0.01092436975,-0.05818719344,-0.01311445341
2018-03-21,21186.0,14017.0,10761.0,0.0,0.0,0.0
2018-03-22,22000.0,18746.0,15818.0,0.03842159917,0.3373760434,0.4699377381
2018-03-23,19967.0,19369.0,16500.0,-0.09240909091,0.03323375653,0.04311543811
2018-03-26,21959.0,17565.0,11174.0,0.09976461161,-0.09313852032,-0.3227878788
2018-03-27,20919.0,16881.0,16260.0,-0.04736099094,-0.038941076,0.455163773
2018-03-28,19925.0,18229.0,16500.0,-0.04751661169,0.07985308927,0.0147601476
2018-03-29,19879.0,17500.0,16500.0,-0.002308657465,-0.03999122278,0.0
2018-03-30,23000.0,19934.0,14016.0,0.1569998491,0.1390857143,-0.1505454545
2018-04-02,23500.0,22378.0,20167.0,0.02173913043,0.1226045952,0.4388555936
2018-04-03,20333.0,18600.0,16500.0,-0.1347659574,-0.1688265261,-0.1818317053
2018-04-04,19500.0,17638.0,16500.0,-0.04096788472,-0.05172043011,0.0
2018-04-05,22598.0,19872.0,12288.0,0.1588717949,0.1266583513,-0.2552727273
2018-04-06,21111.0,16889.0,12783.0,-0.06580228339,-0.1501107085,0.04028320313
2018-04-09,20193.0,16545.0,6219.0,-0.04348443939,-0.02036828705,-0.5134944849
2018-04-10,19871.0,16500.0,16019.0,-0.01594611994,-0.002719854941,1.575816048
2018-04-11,20450.0,17950.0,15361.0,0.02913793971,0.08787878788,-0.04107622199
2018-04-12,21000.0,18851.0,15556.0,0.02689486553,0.05019498607,0.01269448604
2018-04-13,20167.0,17127.0,14942.0,-0.03966666667,-0.09145403427,-0.03947030085
2018-04-16,18891.0,15699.0,14885.0,-0.06327168146,-0.08337712384,-0.003814750368
2018-04-17,21792.0,20558.0,15059.0,0.1535651898,0.3095101599,0.01168962042
2018-04-18,21792.0,20558.0,15059.0,0.0,0.0,0.0
2018-04-19,18269.0,16012.0,15000.0,-0.1616648311,-0.2211304602,-0.003917922837
2018-04-20,20236.0,15145.0,7000.0,0.1076687284,-0.05414688983,-0.5333333333
2018-04-23,18020.0,14659.0,11985.0,-0.1095078079,-0.03208979861,0.7121428571
2018-04-24,18985.0,15179.0,15000.0,0.05355160932,0.03547308821,0.2515644556
2018-04-25,19617.0,15667.0,13229.0,0.03328943903,0.03214968048,-0.1180666667
2018-04-26,21489.0,19998.0,17973.0,0.09542743539,0.2764409268,0.3586060927
2018-04-27,20052.0,17907.0,13649.0,-0.06687142259,-0.104560456,-0.2405830969
2018-04-30,20432.0,18300.0,10762.0,0.01895072811,0.02194672474,-0.2115173273
2018-05-02,21250.0,18500.0,16625.0,0.04003523884,0.01092896175,0.5447872143
2018-05-03,20419.0,17327.0,15500.0,-0.03910588235,-0.06340540541,-0.06766917293
2018-05-04,19895.0,16198.0,15000.0,-0.02566237328,-0.06515842327,-0.03225806452
2018-05-08,21302.0,17344.0,15233.0,0.07072128676,0.07074947524,0.01553333333
2018-05-09,22461.0,20784.0,16787.0,0.0544080368,0.1983394834,0.1020153614
2018-05-10,23500.0,21199.0,17229.0,0.04625795824,0.01996728253,0.02632989814
2018-05-11,22000.0,17786.0,15500.0,-0.06382978723,-0.1609981603,-0.1003540542
2018-05-14,22000.0,17786.0,15500.0,0.0,0.0,0.0
2018-05-15,20340.0,17350.0,15500.0,-0.07545454545,-0.02451366243,0.0
2018-05-16,15500.0,10957.0,10000.0,-0.2379547689,-0.3684726225,-0.3548387097
2018-05-17,20733.0,18132.0,15751.0,0.3376129032,0.6548325272,0.5751
2018-05-18,23088.0,17807.0,15500.0,0.1135870352,-0.01792411207,-0.01593549616
2018-05-21,21976.0,18689.0,17113.0,-0.04816354816,0.04953108328,0.1040645161
2018-05-23,21462.0,18870.0,16224.0,-0.0233891518,0.009684841351,-0.05194881085
2018-05-24,19455.0,18143.0,15550.0,-0.09351411798,-0.03852676206,-0.0415433925
2018-05-25,21588.0,17872.0,15500.0,0.1096376253,-0.01493689026,-0.003215434084
2018-05-28,21588.0,17872.0,15500.0,0.0,0.0,0.0
2018-05-29,25000.0,19995.0,15538.0,0.1580507689,0.1187891674,0.002451612903
