날짜,실제수온,예상수온,편차
2014-07-07,22.3,21.82167224731751,0.47832775268248895
2014-07-08,22.7,22.07167224731751,0.6283277526824875
2014-07-09,21.3,22.521672247317515,-1.221672247317514
2014-07-10,21.7,23.07167224731751,-1.3716722473175125
2014-07-11,21.9,23.77167224731751,-1.8716722473175125
2014-07-12,21.8,24.47167224731751,-2.6716722473175096
2014-07-13,21.2,24.638338913984178,-3.438338913984179
2014-07-14,22.0,24.73833891398418,-2.7383389139841796
2014-07-15,22.4,24.871672247317512,-2.471672247317514
2014-07-16,22.6,25.138338913984178,-2.5383389139841768
2014-07-17,22.6,25.338338913984177,-2.738338913984176
2014-07-18,23.6,25.22167224731751,-1.621672247317509
2014-07-19,24.3,25.27167224731751,-0.9716722473175103
2014-07-20,24.9,25.67167224731751,-0.771672247317511
2014-07-21,25.6,25.73833891398418,-0.1383389139841782
2014-07-22,25.7,25.838338913984177,-0.1383389139841782
2014-07-23,26.7,26.27167224731751,0.42832775268248824
2014-07-24,26.9,26.705005580650848,0.1949944193491504
2014-07-25,26.1,26.871672247317512,-0.771672247317511
2014-07-26,25.5,27.105005580650843,-1.6050055806508432
2014-07-27,25.5,27.505005580650845,-2.0050055806508453
2014-07-28,25.5,28.07167224731751,-2.5716722473175118
2014-07-29,26.4,28.305005580650842,-1.905005580650844
2014-07-30,26.2,28.438338913984175,-2.238338913984176
2014-07-31,26.4,28.505005580650845,-2.1050055806508468
2014-08-01,25.4,28.371672247317512,-2.971672247317514
2014-09-05,26.4,25.22167224731751,1.1783277526824882
2014-09-06,26.5,25.62167224731751,0.8783277526824911
2014-09-07,26.8,25.171672247317513,1.6283277526824875
2014-09-08,26.9,25.62167224731751,1.2783277526824897
2014-09-09,27.0,25.97167224731751,1.0283277526824897
2014-09-10,27.1,25.671672247317513,1.4283277526824882
2014-09-11,26.8,25.27167224731751,1.5283277526824897
2014-09-12,26.7,25.57167224731751,1.1283277526824875
2014-09-13,26.0,25.97167224731751,0.02832775268248966
2014-09-14,25.9,25.97167224731751,-0.07167224731751176
2014-09-15,25.8,25.338338913984177,0.46166108601582323
2014-09-16,26.0,25.005005580650845,0.9949944193491547
2014-09-17,25.7,24.971672247317507,0.7283277526824925
2014-09-18,25.7,24.138338913984178,1.561661086015821
2014-09-19,25.1,24.73833891398418,0.3616610860158218
2014-09-20,25.2,24.73833891398418,0.4616610860158197
2014-09-21,24.4,24.705005580650848,-0.3050055806508496
2014-09-22,24.6,24.57167224731751,0.02832775268248966
2014-09-23,23.4,24.605005580650843,-1.2050055806508446
2014-09-24,23.3,24.73833891398418,-1.438338913984179
2014-09-25,22.7,24.805005580650846,-2.1050055806508468
2014-09-26,22.2,25.03833891398418,-2.838338913984181
2014-09-27,22.5,24.838338913984177,-2.3383389139841775
2014-09-28,22.7,24.705005580650848,-2.005005580650849
2014-09-29,23.0,24.67167224731751,-1.6716722473175096
2014-09-30,23.3,24.53833891398418,-1.2383389139841796
2014-10-01,23.5,24.338338913984177,-0.8383389139841775
2014-10-02,23.3,24.138338913984178,-0.8383389139841775
2014-10-03,23.4,23.73833891398418,-0.33833891398418103
2014-10-04,23.5,24.005005580650845,-0.5050055806508453
2014-10-05,22.8,24.23833891398418,-1.438338913984179
2014-10-06,22.2,24.17167224731751,-1.9716722473175103
2014-10-07,22.2,24.27167224731751,-2.0716722473175118
2014-10-08,21.8,24.005005580650845,-2.2050055806508446
2014-10-09,21.6,23.905005580650844,-2.3050055806508425
2014-10-10,21.9,23.471672247317514,-1.5716722473175153
2014-10-11,21.6,23.605005580650843,-2.005005580650842
2014-10-12,21.7,23.505005580650845,-1.805005580650846
2014-10-13,21.5,23.27167224731751,-1.771672247317511
2014-10-14,21.2,23.27167224731751,-2.0716722473175118
2014-10-15,20.8,23.105005580650843,-2.3050055806508425
2014-10-16,21.3,23.17167224731751,-1.871672247317509
2014-10-17,21.0,23.205005580650848,-2.205005580650848
2014-10-18,21.0,22.705005580650848,-1.7050055806508482
2014-10-19,20.8,22.371672247317512,-1.5716722473175118
2014-10-20,20.9,22.305005580650846,-1.4050055806508475
2014-10-21,20.9,22.27167224731751,-1.3716722473175125
2014-10-22,20.9,22.338338913984177,-1.438338913984179
2014-10-23,20.9,22.27167224731751,-1.3716722473175125
2014-10-24,20.8,22.138338913984178,-1.3383389139841775
2014-10-25,20.9,22.27167224731751,-1.3716722473175125
2014-10-26,20.9,22.17167224731751,-1.271672247317511
2014-10-27,21.2,22.03833891398418,-0.838338913984181
2014-10-28,22.1,22.205005580650848,-0.10500558065084675
2014-10-29,20.9,22.07167224731751,-1.1716722473175132
2014-10-30,20.5,21.438338913984175,-0.9383389139841753
2014-10-31,20.0,20.671672247317513,-0.6716722473175132
2014-11-01,20.5,21.605005580650843,-1.1050055806508432
2014-11-02,20.5,21.77167224731751,-1.271672247317511
2014-11-03,20.0,21.97167224731751,-1.9716722473175103
2014-11-04,20.3,21.705005580650848,-1.4050055806508475
2014-11-05,21.7,21.705005580650848,-0.005005580650848884
2014-11-06,20.1,21.171672247317513,-1.0716722473175118
2014-11-07,21.8,21.67167224731751,0.12832775268249108
2014-11-08,20.6,21.57167224731751,-0.9716722473175103
2014-11-09,21.0,20.838338913984177,0.16166108601582252
2014-11-10,21.4,21.105005580650843,0.2949944193491554
2014-11-11,21.3,21.105005580650843,0.1949944193491575
2014-11-12,20.7,21.205005580650848,-0.5050055806508489
2014-11-13,20.3,21.07167224731751,-0.771672247317511
2014-11-14,19.1,20.838338913984177,-1.738338913984176
2014-11-15,19.9,20.23833891398418,-0.33833891398418103
2014-11-16,20.1,20.27167224731751,-0.17167224731750963
2014-11-17,19.7,20.17167224731751,-0.47167224731751034
2014-11-18,19.9,20.038338913984177,-0.1383389139841782
2014-11-19,19.9,19.938338913984175,-0.03833891398417677
2014-11-20,19.5,19.57167224731751,-0.07167224731751176
2014-11-21,19.3,18.97167224731751,0.32832775268249037
2014-11-22,19.5,18.871672247317512,0.6283277526824875
2014-11-23,19.8,19.421672247317513,0.37832775268248753
2014-11-24,19.9,19.271672247317515,0.628327752682484
2014-11-25,20.1,19.32167224731751,0.7783277526824897
2014-11-26,19.9,19.105005580650847,0.7949944193491518
2014-11-27,19.9,18.93833891398418,0.9616610860158197
2014-11-28,19.6,18.905005580650844,0.6949944193491575
2014-11-29,19.6,18.905005580650844,0.6949944193491575
2014-11-30,19.6,18.838338913984177,0.7616610860158239
2014-12-01,19.3,18.638338913984178,0.6616610860158225
2014-12-02,18.9,18.57167224731751,0.3283277526824868
2014-12-03,18.8,18.538338913984177,0.26166108601582394
2014-12-04,18.9,18.421672247317513,0.4783277526824854
2014-12-05,18.8,18.27167224731751,0.5283277526824897
2014-12-06,18.8,18.421672247317513,0.37832775268248753
2014-12-07,18.7,18.371672247317512,0.3283277526824868
2014-12-08,18.3,18.171672247317513,0.12832775268248753
2014-12-09,17.9,18.005005580650845,-0.10500558065084675
2014-12-10,17.7,18.038338913984177,-0.3383389139841775
2014-12-11,17.8,18.105005580650847,-0.30500558065084604
2014-12-12,18.0,18.07167224731751,-0.07167224731751176
2014-12-13,17.9,18.005005580650845,-0.10500558065084675
2014-12-14,18.0,17.938338913984175,0.06166108601582465
2014-12-15,17.8,17.77167224731751,0.02832775268248966
2014-12-16,17.2,17.638338913984178,-0.4383389139841789
2014-12-17,17.2,17.57167224731751,-0.37167224731751247
2014-12-18,17.4,17.505005580650845,-0.10500558065084675
2014-12-19,17.1,17.338338913984177,-0.23833891398417606
2014-12-20,17.3,17.338338913984177,-0.03833891398417677
2014-12-21,17.2,17.338338913984177,-0.1383389139841782
2014-12-22,17.3,17.205005580650845,0.09499441934915609
2014-12-23,17.1,17.07167224731751,0.02832775268248966
2014-12-24,16.9,16.971672247317514,-0.07167224731751531
2014-12-25,16.7,16.805005580650846,-0.10500558065084675
2014-12-26,16.5,16.77167224731751,-0.27167224731751105
2014-12-27,16.5,16.605005580650847,-0.10500558065084675
2014-12-28,16.5,16.57167224731751,-0.07167224731751176
2014-12-29,16.5,16.471672247317514,0.028327752682486107
2014-12-30,16.5,16.405005580650844,0.09499441934915609
2014-12-31,16.4,16.338338913984177,0.0616610860158211
2015-01-01,16.4,15.821191784006903,0.5788082159930958
2015-01-02,16.4,15.754525117340236,0.6454748826597623
2015-01-03,16.3,15.654525117340235,0.6454748826597658
2015-01-04,16.5,15.554525117340233,0.9454748826597665
2015-01-05,16.5,15.521191784006902,0.978808215993098
2015-01-06,16.2,15.454525117340236,0.7454748826597637
2015-01-07,15.9,15.354525117340234,0.5454748826597662
2015-01-08,15.8,15.254525117340236,0.5454748826597644
2015-01-09,15.8,15.121191784006903,0.6788082159930973
2015-01-10,15.8,15.0211917840069,0.7788082159931005
2015-01-11,15.8,14.954525117340236,0.8454748826597651
2015-01-12,15.7,14.854525117340236,0.8454748826597633
2015-01-13,15.6,14.78785845067357,0.8121415493264301
2015-01-14,15.7,14.754525117340235,0.9454748826597648
2015-01-15,15.6,14.687858450673568,0.9121415493264315
2015-01-16,15.4,14.587858450673568,0.8121415493264319
2015-01-17,15.3,14.5211917840069,0.7788082159931005
2015-01-18,15.3,14.487858450673569,0.8121415493264319
2015-01-19,15.2,14.454525117340236,0.7454748826597637
2015-01-20,15.2,14.487858450673569,0.7121415493264305
2015-01-21,15.2,14.487858450673569,0.7121415493264305
2015-01-22,15.1,14.5211917840069,0.5788082159930994
2015-01-23,15.0,14.554525117340235,0.44547488265976476
2015-01-24,15.1,14.5211917840069,0.5788082159930994
2015-01-25,15.0,14.43785845067357,0.5621415493264301
2015-01-26,15.0,14.337858450673568,0.6621415493264315
2015-01-27,14.9,14.287858450673568,0.6121415493264326
2015-01-28,14.7,14.13785845067357,0.5621415493264301
2015-01-29,14.6,14.087858450673568,0.5121415493264312
2015-01-30,14.4,13.587858450673568,0.8121415493264319
2015-01-31,14.4,13.487858450673569,0.9121415493264315
2015-02-01,14.3,13.937858450673568,0.3621415493264326
2015-02-02,14.2,13.787858450673568,0.41214154932643154
2015-02-03,14.2,13.68785845067357,0.5121415493264294
2015-02-04,14.2,13.63785845067357,0.5621415493264301
