예찰일자,발생해역,적조생물,밀도(개체수/mL),수온,염분,좌표
2024-08-17,경남 통영시 사량도~오비도,Cochlodinium polykrikoides,.75~4.35,29.4~29.6,29.3~30.4,
2024-08-16,경남 남해군 인근,Cochlodinium polykrikoides,6~18,28.5~28.7,30.7~31.3,
2024-08-16,전남 고흥군 동측,Cochlodinium polykrikoides,50~100,29.3~29.3,31.5~31.6,
2024-08-16,전남 여수 가막만 외측,Cochlodinium polykrikoides,2~14,27.5~28.9,31.3~33.1,
2024-08-16,전남 여수시 보돌바다,Cochlodinium polykrikoides,6~64,26~28.8,30.6~32.5,
2024-08-16,전남 장흥군 득량만,Cochlodinium polykrikoides,20~40,29.6~30.8,31.1~32.2,
2024-08-16,경남 통영시 사량도 ~ 오비도 ,Cochlodinium polykrikoides,.5~2.2,28.8~29.2,29.7~29.9,
2024-08-15,경남 남해군 미조면 해역,Cochlodinium polykrikoides,5~16,26.3~26.5,33~33,
2024-08-15,전남 득량만 해역,Cochlodinium polykrikoides,20~50,29.8~30.8,31.6~32,
2024-08-15,전남 여수시 자봉도~낭도 해역,Cochlodinium polykrikoides,4~600,28.5~28.8,30.8~32.2,
2024-08-15,경남 통영시 연화도~욕지도 해역,Cochlodinium polykrikoides,3.6~49,29~29.9,28.8~29.8,
2024-08-14,경남 남해군 미조면 해역,Cochlodinium polykrikoides,4~15,26.2~27,33.3~33.3,
2024-08-14,전남 여수시 자봉도~낭도 해역,Cochlodinium polykrikoides,4~200,25.7~28.2,33.1~33.3,
2024-08-14,전남 득량만 해역,Cochlodinium polykrikoides,20~100,29.7~30.3,31.6~32.4,
2024-08-14,전남 완도군 남단 해역,Cochlodinium polykrikoides,4~4,24.3~24.3,32.9~32.9,
2024-08-14,경남 통영시 사량도~오비도 해역,Cochlodinium polykrikoides,.1~.3,27.4~27.8,32~33.6,
2024-08-13,경남 남해군 미조면 해역,Cochlodinium polykrikoides,2~2,24.6~24.6,33.5~33.5,
2024-08-13,전남 득량만 해역,Cochlodinium polykrikoides,20~100,29.3~29.6,31.5~33.1,
2024-08-13,전남 고흥군 외나로도 해역,Cochlodinium polykrikoides,2~18,27.4~27.4,32.4~32.4,
2024-08-13,경남 통영시 곤리도~학림도 해역,Cochlodinium polykrikoides,.05~.2,24.7~27.5,32.2~33.8,
2024-08-12,경남 남해군 미조면 해역,Cochlodinium polykrikoides,2~12,26.1~27.2,33.3~33.5,
2024-08-12,전남 여수 여자만 입구,Cochlodinium polykrikoides,8~25,24.9~24.9,31.8~31.8,
2024-08-12,전남 득량만 해역,Cochlodinium polykrikoides,50~100,26.5~30.4,31.6~33.8,
2024-08-12,경남 통영시 비진도~욕지도~두미도 해역,Cochlodinium polykrikoides,.1~2,24.9~27.8,32.3~33.8,
2024-08-11,경남 남해군 미조면 해역,Cochlodinium polykrikoides,8~18,23.4~25.3,33.4~33.6,
2024-08-11,"전남 득량만 해역
",Cochlodinium polykrikoides,50~100,25~29.3,31.3~33.1,
2024-08-11,"전남 여수 여자만~보돌바다 사이 해역
",Cochlodinium polykrikoides,8~12,23.6~23.6,32.9~32.9,
2024-08-11,경남 통영시 두미도 ~ 비진도 해역,Cochlodinium polykrikoides,1.8~2.6,25.3~26.8,32.4~32.8,
2024-08-10,경남 남해군 미조면 조도해역,Cochlodinium polykrikoides,8~8,24.8~24.8,33.5~33.5,
2024-08-10,전남 완도군 금당 율포~가학,Cochlodinium polykrikoides,4~4,22.4~24.3,32.7~33.1,
2024-08-10,"전남 여수 주변해역(개도,금오도 남단)",Cochlodinium polykrikoides,12~48,22~24.8,32.4~32.9,
2024-08-10,전남 득량만 해역,Cochlodinium polykrikoides,50~100,25.2~29.5,31.3~33.1,
2024-08-10,전남 고흥군 금산면~도화면~외나로도,Cochlodinium polykrikoides,10~60,22.4~25.7,31.4~32.9,
2024-08-10,경남 통영시 두미도~사량도~비진도,Cochlodinium polykrikoides,2.2~4.4,22.9~27.3,32.3~33.1,
