날짜,대,중,소
2018/6/7,19775.0,17106.0,15000.0
2018/6/8,22500.0,18171.0,15040.0
2018/6/9,21706.0,18106.0,15283.0
2018/6/11,9263.0,4463.0,3908.0
2018/6/12,21592.0,15753.0,14026.0
2018/6/13,11784.0,8617.0,6090.0
2018/6/14,21592.0,15753.0,14026.0
2018/6/15,22500.0,20493.0,16489.0
2018/6/16,19236.0,16599.0,14392.0
2018/6/18,15339.0,11125.0,6272.0
2018/6/19,20707.0,15252.0,10184.0
2018/6/20,24440.0,21563.0,16368.0
2018/6/21,19452.0,17828.0,14692.0
2018/6/22,22307.0,16809.0,14419.0
2018/6/23,19192.0,17354.0,15000.0
2018/6/25,18500.0,18500.0,18154.0
2018/6/26,23784.0,19176.0,16260.0
2018/6/27,22500.0,17755.0,15000.0
2018/6/28,21387.0,18126.0,15000.0
2018/6/29,25000.0,20700.0,14602.0
2018/6/30,21183.0,16241.0,14856.0
2018/7/2,23890.0,22273.0,16565.0
2018/7/3,18310.0,17873.0,16351.0
2018/7/4,15000.0,15000.0,15000.0
2018/7/5,23611.0,18014.0,14705.0
2018/7/6,23500.0,17853.0,14681.0
2018/7/7,22201.0,18183.0,14954.0
2018/7/9,20267.0,16822.0,11936.0
2018/7/10,21236.0,17335.0,14083.0
2018/7/11,19947.0,18839.0,18000.0
2018/7/12,19011.0,17058.0,14582.0
2018/7/13,20149.0,18000.0,16912.0
2018/7/14,21024.0,18009.0,15144.0
2018/7/16,21750.0,17624.0,8121.0
2018/7/17,21434.0,16939.0,13970.0
2018/7/18,20483.0,19208.0,15440.0
2018/7/19,21605.0,17090.0,14450.0
2018/7/20,22407.0,17130.0,10354.0
2018/7/21,19050.0,16734.0,14224.0
2018/7/24,18431.0,14481.0,9760.0
2018/7/25,18000.0,17396.0,12734.0
2018/7/26,22022.0,17331.0,14844.0
2018/7/27,17725.0,15555.0,11076.0
2018/7/28,19751.0,17109.0,13254.0
2018/7/30,17725.0,15555.0,11076.0
2018/7/31,19707.0,17066.0,16552.0
2018/8/1,22606.0,18489.0,14191.0
2018/8/2,19243.0,16645.0,13465.0
2018/8/3,19243.0,16645.0,13465.0
2018/8/6,22162.0,17394.0,14004.0
2018/8/7,18667.0,17016.0,13225.0
2018/8/8,18496.0,15883.0,13000.0
2018/8/9,21035.0,17255.0,17000.0
2018/8/10,16993.0,12496.0,10019.0
2018/8/11,18720.0,15168.0,12129.0
2018/8/13,17574.0,17000.0,13286.0
2018/8/14,17574.0,17000.0,13286.0
2018/8/15,17574.0,17000.0,13286.0
2018/8/16,17574.0,17000.0,13286.0
2018/8/17,19352.0,15097.0,12755.0
2018/8/18,16912.0,15699.0,12857.0
2018/8/20,17160.0,16472.0,14436.0
2018/8/21,17008.0,16490.0,12875.0
2018/8/22,20316.0,16482.0,13474.0
2018/8/23,18054.0,15118.0,12500.0
2018/8/24,18857.0,16503.0,13021.0
2018/8/25,18693.0,15715.0,12672.0
2018/8/27,17000.0,16871.0,14201.0
2018/8/28,16665.0,14515.0,12227.0
2018/8/29,22689.0,15944.0,12510.0
2018/8/30,16420.0,14207.0,12500.0
2018/8/31,19948.0,16507.0,13494.0
2018/9/1,19731.0,16809.0,13411.0
2018/9/3,22805.0,15292.0,12500.0
2018/9/4,19399.0,16973.0,14464.0
2018/9/5,18599.0,15340.0,12767.0
2018/9/6,17727.0,16376.0,13633.0
2018/9/7,16720.0,14872.0,3000.0
2018/9/8,18921.0,16356.0,13000.0
2018/9/10,18597.0,16467.0,13363.0
2018/9/11,17253.0,15363.0,12585.0
2018/9/12,20677.0,14387.0,6689.0
2018/9/13,16979.0,15870.0,13449.0
2018/9/14,17907.0,15025.0,12781.0
2018/9/15,17907.0,15025.0,12781.0
2018/9/17,16864.0,16025.0,13171.0
2018/9/18,20462.0,16284.0,13000.0
2018/9/19,19973.0,15718.0,12649.0
2018/9/20,16992.0,16271.0,13642.0
2018/9/21,16686.0,15845.0,13446.0
2018/9/22,16686.0,15845.0,13446.0
2018/9/27,19402.0,14200.0,13000.0
2018/9/28,20396.0,15535.0,12850.0
2018/9/29,20396.0,15535.0,12850.0
2018/10/1,20396.0,15535.0,12850.0
2018/10/2,18490.0,16500.0,15227.0
2018/10/3,18039.0,13008.0,13000.0
2018/10/4,18039.0,13008.0,13000.0
2018/10/5,17793.0,15018.0,8166.0
2018/10/6,17793.0,15018.0,8166.0
2018/10/8,17793.0,15018.0,8166.0
2018/10/9,16500.0,16485.0,16000.0
2018/10/10,18373.0,15928.0,13324.0
2018/10/11,18606.0,15412.0,12859.0
2018/10/12,21917.0,15916.0,11171.0
2018/10/13,21917.0,15916.0,11171.0
2018/10/15,21917.0,15916.0,11171.0
2018/10/16,17590.0,14888.0,12628.0
2018/10/17,20162.0,16514.0,13934.0
2018/10/18,18229.0,14512.0,12866.0
2018/10/19,16524.0,16203.0,13679.0
2018/10/20,16524.0,16203.0,13679.0
2018/10/22,16524.0,16203.0,13679.0
2018/10/23,18213.0,15933.0,12558.0
2018/10/24,18213.0,15933.0,12558.0
2018/10/25,18748.0,13823.0,12155.0
2018/10/26,18073.0,15375.0,12727.0
2018/10/27,18073.0,15375.0,12727.0
2018/10/29,18073.0,15375.0,12727.0
2018/10/30,17851.0,15970.0,12589.0
2018/10/31,17851.0,15970.0,12589.0
2018/11/1,17551.0,14060.0,11000.0
2018/11/2,17551.0,14060.0,11000.0
2018/11/3,18387.0,15163.0,11984.0
2018/11/5,18387.0,15163.0,11984.0
2018/11/6,17021.0,14957.0,12406.0
2018/11/7,16626.0,15863.0,14196.0
2018/11/8,16368.0,14635.0,11158.0
2018/11/9,17255.0,14886.0,10000.0
2018/11/10,17255.0,14886.0,10000.0
2018/11/12,17255.0,14886.0,10000.0
2018/11/13,17255.0,14886.0,10000.0
2018/11/14,15909.0,15212.0,12566.0
2018/11/15,15909.0,15212.0,12566.0
2018/11/16,16297.0,15025.0,12600.0
2018/11/17,16297.0,15025.0,12600.0
2018/11/19,16297.0,15025.0,12600.0
2018/11/20,15422.0,13120.0,8299.0
2018/11/21,15378.0,15000.0,12300.0
2018/11/22,16256.0,13723.0,10156.0
2018/11/23,15552.0,14590.0,11231.0
2018/11/24,15227.0,13291.0,10685.0
2018/11/26,15583.0,13687.0,11105.0
2018/11/27,16474.0,14781.0,11780.0
2018/11/28,16474.0,14781.0,11780.0
2018/11/29,15104.0,14624.0,14033.0
2018/11/30,15082.0,12452.0,10592.0
2018/12/1,15082.0,12452.0,10592.0
2018/12/3,16047.0,13793.0,12384.0
2018/12/4,16047.0,13793.0,12384.0
2018/12/5,15315.0,14162.0,10657.0
2018/12/6,14875.0,14235.0,11640.0
2018/12/7,14645.0,12903.0,10242.0
2018/12/8,14645.0,12903.0,10242.0
2018/12/10,15438.0,14638.0,10562.0
2018/12/11,15227.0,13744.0,11121.0
2018/12/12,15569.0,13963.0,11003.0
2018/12/13,14332.0,12308.0,10178.0
2018/12/14,14515.0,12008.0,8532.0
2018/12/15,14515.0,12008.0,8532.0
2018/12/17,14515.0,12008.0,8532.0
2018/12/18,15536.0,12878.0,11307.0
2018/12/19,16104.0,12715.0,10486.0
2018/12/20,16104.0,12715.0,10486.0
2018/12/21,15521.0,13530.0,10501.0
2018/12/22,15521.0,13530.0,10501.0
2018/12/24,15521.0,13530.0,10501.0
2018/12/25,15521.0,13530.0,10501.0
2018/12/26,20000.0,13617.0,10794.0
2018/12/27,14246.0,13003.0,11347.0
2018/12/28,14246.0,13003.0,11347.0
2018/12/29,18060.0,12834.0,10268.0
2018/12/31,18060.0,12834.0,10268.0
2019/1/3,14202.0,11834.0,7364.0
2019/1/4,13452.0,11695.0,10122.0
