date,name,20대,30대,40대,50대,60대 이상
2016-01-01,광어,3.7160226395236258,3.5544736390394185,3.3264189107551054,3.809974812070453,1.5329536846961331
2016-01-02,광어,3.8272096942348464,3.382406697298384,3.1335963271727323,4.049619683625723,1.8128245616231164
2016-01-03,광어,3.682095814503188,3.7013030142890972,3.4888371518468,3.279366711397416,1.677355822127969
2016-01-04,광어,3.4491355932697076,3.227122042752711,2.8115506039678184,3.67246992071292,1.940196501385071
2016-01-05,광어,3.401118418330573,3.322711534110722,3.1686777085344593,2.4839004351146348,1.0
2016-01-06,광어,3.448984770479822,3.0121292428129673,3.2537522295401837,3.630011556557573,1.3133988337950238
2016-01-07,광어,3.3149217139657017,2.961626668874648,2.5822394386918783,4.00520914254354,1.940196501385071
2016-01-08,광어,3.0827432931681926,3.098608792063583,2.9076609192900444,3.384990108087468,1.557450403939067
2016-01-09,광어,3.7183551317156445,3.1502273435117085,2.830980013819975,3.305615682178515,1.224187989218823
2016-01-10,광어,3.557252680637179,3.2722172998225862,2.8883993946154782,6.5181042001789145,1.426362566161238
2016-01-11,광어,3.261769691924088,3.3729358362188595,3.040060713388767,3.6188225498976125,2.1411240222881505
2016-01-12,광어,3.1982720723962754,3.0453344643966274,2.858548455601122,2.8761862401654765,2.369348826745784
2016-01-13,광어,3.306313788368935,3.1484009348010495,3.081689503067748,5.108244685347937,1.4700982506925335
2016-01-14,광어,3.375554306246521,2.761765231822304,4.006276526415862,3.0182484404628442,2.114900807878134
2016-01-15,광어,3.465237048176733,2.803050668399493,2.981511545772155,3.45150142041613,1.2282248044576332
2016-01-16,광어,3.6004171880173566,3.323015652663464,3.4337314754433583,3.1500018369623852,1.6846744133728944
2016-01-17,광어,3.523539736668877,3.320016086903151,3.0954655962911604,4.164036041516557,1.677355822127969
2016-01-18,광어,3.2052958347217113,3.0273826984421954,3.3471353516599347,3.1573599346939414,1.5418846577023733
2016-01-19,광어,3.155296266155026,2.876582055016881,2.6565858049646165,3.4644010447600833,1.557450403939067
2016-01-20,광어,3.247645694456695,2.8906212698863647,3.113531631039715,3.1262687920486916,1.6267976675900475
2016-01-21,광어,3.1917332969547094,2.922061221239351,3.040190711630543,2.7509366347725313,1.5914281924990958
2016-01-22,광어,3.5085235251536107,3.0083441114934693,2.9965870162604498,3.3043657393347976,2.369348826745784
2016-01-23,광어,3.6665835536970057,3.0527883046807656,2.946936032660874,2.3627484411890363,1.9593181588357191
2016-01-24,광어,3.7753862638812667,3.60639269937153,3.91875815068462,3.737229467751269,2.114900807878134
