date,name,20대,30대,40대,50대,60대 이상
2016-01-01,우럭,3.628427822281266,3.4494926670126267,3.12952977028299,4.83614638904986,1.3235226488848015
2016-01-02,우럭,3.7459906166221635,3.395082994185411,2.9093970696555007,4.233117259827745,1.5499853415420706
2016-01-03,우럭,3.4533505406028953,3.8712552264800966,3.303071045674119,3.2762613488297974,1.9624743476986213
2016-01-04,우럭,3.3331514265997493,3.0692738384789124,3.5395301135808896,4.207426213088825,1.6376614547926591
2016-01-05,우럭,3.3048050342233717,3.384334751601618,2.7072053604419697,2.638036163735216,1.0
2016-01-06,우럭,3.022100346159907,2.914089950672677,2.8300874362366875,3.3638062200334256,1.6376614547926591
2016-01-07,우럭,3.04666547906064,2.9906333844643855,2.6233473778674425,2.919917838652643,1.797076818490824
2016-01-08,우럭,2.944341693851665,2.9321425300542785,3.0347907024200254,4.790912588827598,1.5689446016983464
2016-01-09,우럭,3.490365082111511,3.291880988489705,3.138030154050213,2.811483538912369,1.4520481927710835
2016-01-10,우럭,3.2253411264736704,3.329409892168177,3.070915158976859,4.1106212865454435,1.1078408829616004
2016-01-11,우럭,3.075630749308316,3.7343119202334987,2.9437220528973516,5.015313500581376,1.2340319361277403
2016-01-12,우럭,3.1227512624496923,3.191082508137227,3.1691374641789913,3.4968177036067236,2.404191616766462
2016-01-13,우럭,3.221829201213347,2.865660740890612,3.0220603889054196,3.421264412504045,1.1594153636981648
2016-01-14,우럭,3.069143139508954,2.901357254752325,3.2116862060092686,2.916792586504954,3.086130206227256
2016-01-15,우럭,3.247571324491001,2.947249959203598,3.2256820647589315,2.4500330421015786,2.404191616766462
2016-01-16,우럭,3.250730520315985,3.2960777727109303,3.8891002552267047,3.310332343840485,1.7020958083832292
2016-01-17,우럭,3.457831050497696,3.1132864008009395,2.875494142747782,4.064704323361914,1.412489006156553
2016-01-18,우럭,3.116675788521329,3.141111361895155,3.2024781583899706,3.2804273621617464,1.5499853415420706
2016-01-19,우럭,3.116046099900428,2.99210676704788,2.911862321800375,2.69289784345699,1.7585928022644577
2016-01-20,우럭,2.953127396976251,3.161145971228544,2.790427959856766,3.326168545042207,1.4782460910944943
2016-01-21,우럭,3.0032999109124594,2.99225218124697,3.096069630755999,2.760655644083372,1.3055374592833873
2016-01-22,우럭,3.291598016112009,2.8887078162747537,2.5898230860154827,3.7372126180171543,1.936127744510977
2016-01-23,우럭,3.1348049165864493,3.045625080159046,3.318762303890752,2.381010535474043,1.3235226488848015
2016-01-24,우럭,3.185263957876733,2.9156811234704842,2.909339423397906,4.0520034640661455,1.7585928022644577
2016-01-25,우럭,3.4839088426333364,2.7943640928102367,2.8702694256106476,3.17260838815009,1.318830727396332
2016-01-26,우럭,3.151520753152413,3.0932138803768394,2.9912451254516395,3.508469254645768,1.973432959734328
2016-01-27,우럭,3.32299797456144,3.177783992281454,2.7350194851886234,3.840803293043082,1.318830727396332
2016-01-28,우럭,3.0232963820602636,3.181955359332579,3.0268044169412485,3.1152667358346755,1.8627270636928024
2016-01-29,우럭,3.008647371399788,3.2913796080105184,3.0239954796987822,2.8101101727700253,2.64995602462621
2016-01-30,우럭,3.1966048107246134,3.0662418987799303,2.916495397847783,3.7595516218358704,1.1973075305006315
2016-01-31,우럭,3.384155204753914,3.4752852634644826,2.9871340357738414,2.7691267740980026,1.5689446016983464
