date,name,20대,30대,40대,50대,60대 이상
2016-01-01,대게,9.08876086683355,15.402608498895596,12.426487494722172,9.709126560208741,3.046449834321016
2016-01-02,대게,7.991421530139682,12.912363350050462,9.37819267647588,7.434732782872459,3.600261455302903
2016-01-03,대게,7.005607645817787,9.58661849082025,7.596756230064205,5.591602393132608,2.300118509870456
2016-01-04,대게,6.9246688309987,12.371691891545854,9.157019459855302,6.72556872268315,3.0566855244628397
2016-01-05,대게,6.3343197033541525,11.291739994693735,7.437354738281308,7.406531909269274,2.476108599135399
2016-01-06,대게,5.586262682220051,9.22763699219203,6.949879463580094,5.765819921050856,2.615965324204934
2016-01-07,대게,5.764179256846754,10.66228881384146,9.217697955882173,9.822239389878472,3.7912104481518982
2016-01-08,대게,5.754373469195232,10.712401050905266,8.58603334324492,7.945868382853515,3.854007573973656
2016-01-09,대게,6.05436005183634,10.465108860360615,7.505852862966131,6.195098724829746,2.552351792581085
2016-01-10,대게,5.970210192583257,10.213590919675006,7.027233115602996,6.904505984526962,2.865880099120982
2016-01-11,대게,6.28432165296203,13.091736059398066,8.207183666717619,7.835081472349137,3.3247882798107136
2016-01-12,대게,6.158848195834112,10.185677247833622,7.424923747298314,5.825411856019585,2.635951873660645
2016-01-13,대게,5.839203945174171,9.455947863140302,7.307266642060955,6.591083535406911,4.305401501934562
2016-01-14,대게,5.872345583525094,8.686920244590187,9.242888539634723,6.526911152905531,2.6648377514846278
2016-01-15,대게,6.337095528432325,10.526429545140354,11.24687260681295,7.229353502211122,3.23869525935716
2016-01-16,대게,5.806695227019089,10.024533199432698,8.471758126540564,5.591190942206869,3.927500917999927
2016-01-17,대게,7.331087650800546,11.212933366279966,8.409362417937952,6.923464434343144,2.847548404555775
2016-01-18,대게,7.100147997031289,13.642220605857226,10.274278035665814,8.971021814226955,3.3949782992411537
2016-01-19,대게,6.837623904410762,10.300051122681356,7.376456372445778,5.267712000915326,2.347735235553208
2016-01-20,대게,6.022917984030733,8.7201178346096,6.761742775743668,6.401512575018088,3.4974057247208084
2016-01-21,대게,6.7178324887468985,10.658324708109797,10.010705314054267,6.509120071052557,4.862771195752294
2016-01-22,대게,5.86228472810183,9.117148630923275,7.767018290361664,6.984627472575125,3.497005068225009
2016-01-23,대게,6.47828885647645,10.250369876684402,8.441072631097361,5.20319300166204,2.986267087200449
2016-01-24,대게,5.962597212579599,9.54557609546875,7.870342563528814,7.315345410566465,2.506300648617386
2016-01-25,대게,6.4647272083232,7.994158148087621,6.3974242503112,5.655196799365431,2.322160600773812
2016-01-26,대게,5.888454250438553,9.34961386356861,6.396351105314575,7.429342638541093,2.589641378807668
2016-01-27,대게,6.820131399636303,10.358859302194894,9.041850964825624,6.570058897209571,2.1018005006448437
2016-01-28,대게,6.461379707879258,11.469571730728669,7.912318516075876,6.646317021008509,2.263988146400262
2016-01-29,대게,5.601611250189742,10.524790462373556,7.4874454463314635,5.217465731796226,2.436982092432306
2016-01-30,대게,6.134459408348786,9.30664543987383,6.294487823785353,5.244354376636235,1.5794281791612554
2016-01-31,대게,7.3259767078308595,10.864006415892117,8.031544128503189,5.3448896882498556,3.854007573973656
2016-02-01,대게,6.733145262204791,10.82670425008731,7.502334594734691,5.623271364271979,3.43374561810482
2016-02-02,대게,5.613700338927042,10.24229087984151,7.407894543081257,7.595906327612926,2.024747034336076
2016-02-03,대게,7.711433864220609,14.387469713723181,10.384094372273143,6.986231806192674,4.358027515282108
2016-02-04,대게,7.68891767779846,14.035058976496114,12.144805473986594,9.135226988547977,4.284530496988081
2016-02-05,대게,6.38855964267791,9.560761603333383,8.184699867605765,8.394412501010104,3.2036010012897185
2016-02-06,대게,5.769624605181191,8.943980595382197,5.908010703442708,6.341725399254205,1.4588540510979142
2016-02-07,대게,6.564903259589078,9.8311451928844,6.638218689466388,6.2438514195125405,2.779128831055845
2016-02-08,대게,5.560190359492909,7.10932940670164,5.649498069501619,6.185963431216708,2.9844119871176247
2016-02-09,대게,5.96992044755052,6.580246159018888,6.2896578141442046,6.8411579593577825,2.280922357542776
2016-02-10,대게,5.732867801667135,8.06953554023235,6.796506431199768,6.250242085392662,2.689409947507023
2016-02-11,대게,5.086584912434523,9.37882980946824,8.419141644894204,6.3110284232356335,2.0232141702413804
2016-02-12,대게,5.084119256995184,8.493690146112415,7.064275418826403,5.471583677692099,4.014840887803343
2016-02-13,대게,5.161411879960419,8.514569036111116,7.703098224566547,5.254918783167326,2.3449604706557454
2016-02-14,대게,5.536833364493054,8.492525810176264,6.551451743688077,5.453442397274372,2.322160600773812
2016-02-15,대게,4.857838948784151,7.5627928632710635,5.836611463166595,4.033442131018943,2.033239235471395
2016-02-16,대게,4.653244988248164,7.287690031975033,6.984050102530208,6.241784718217285,2.384353640641474
2016-02-17,대게,5.578088833550824,8.940984003010378,7.269297720206751,6.181141002542584,2.436982092432306
2016-02-18,대게,5.503731428594881,8.790148070442665,6.512384824479889,6.456707246009682,2.615965324204934
2016-02-19,대게,5.434429711909184,8.35779173749052,7.065171335028985,7.65526619477673,3.3962256848490338
2016-02-20,대게,5.591917334486647,11.176707194232186,11.695437171124155,10.389127101890308,7.113342392375004
2016-02-21,대게,6.254752432842741,10.554323911438395,9.215107505182639,9.081458040993665,2.615965324204934
2016-02-22,대게,5.810422824566408,9.387413147285969,7.139451055969056,6.313232040018267,2.8942616825284944
2016-02-23,대게,5.455632772284304,7.472405336831121,7.421057756036781,6.184598381406035,3.3247882798107136
2016-02-24,대게,5.384811030456918,8.281514072998647,8.192952635512592,6.354980740033639,3.8084506272571153
