date,광어_20대,광어_30대,광어_40대,광어_50대,광어_60대 이상,농어_20대,농어_30대,농어_40대,농어_50대,농어_60대 이상,대게_20대,대게_30대,대게_40대,대게_50대,대게_60대 이상,방어_20대,방어_30대,방어_40대,방어_50대,방어_60대 이상,연어_20대,연어_30대,연어_40대,연어_50대,연어_60대 이상,우럭_20대,우럭_30대,우럭_40대,우럭_50대,우럭_60대 이상,참돔_20대,참돔_30대,참돔_40대,참돔_50대,참돔_60대 이상
2016-01-01,3.7160226395236258,3.5544736390394185,3.326418910755105,3.809974812070453,1.5329536846961331,3.260212763829429,3.581406982700189,3.558842721186557,5.39008559110204,2.1632495658229383,9.08876086683355,15.402608498895596,12.426487494722172,9.70912656020874,3.046449834321016,5.906486486362983,7.14697627185933,6.614763944830633,14.358005102223428,3.340612845470168,4.809540978533165,4.894877791966209,4.750222654972918,5.961751129046958,1.3388702806911803,3.628427822281266,3.4494926670126267,3.12952977028299,4.83614638904986,1.3235226488848015,3.1810439014849887,3.557812566519184,3.03026951398274,3.608375212829607,1.3080157321910135
2016-01-02,3.8272096942348464,3.382406697298384,3.1335963271727323,4.049619683625723,1.8128245616231164,3.01812774492611,3.3182795565837817,3.222967030604237,3.078885339280665,1.804692073116961,7.991421530139682,12.912363350050462,9.37819267647588,7.434732782872459,3.600261455302903,6.48597198034435,9.34190098521868,10.622028956624131,17.45344087310194,7.4213697215849885,6.986391105944758,6.831602994962763,5.381616642708793,5.615415778346362,3.040053093722307,3.745990616622164,3.395082994185411,2.9093970696555007,4.233117259827745,1.5499853415420706,3.371687110935766,3.6985293603683114,3.19971503444778,3.968063517738949,1.3876020052633002
2016-01-03,3.682095814503188,3.701303014289097,3.4888371518468,3.279366711397416,1.677355822127969,2.932536190275993,3.0829648645628325,2.8820744628574717,4.802193571961028,1.1341153455194963,7.005607645817787,9.58661849082025,7.596756230064205,5.591602393132608,2.300118509870456,5.147320206329151,5.948592377825454,6.213011358087032,6.207539703806143,2.696208315936431,12.569106108002666,16.147838136011263,12.739428157737652,13.177469584498326,5.182100794160691,3.4533505406028957,3.871255226480097,3.303071045674119,3.2762613488297974,1.9624743476986213,3.387131412970561,3.5445994090296447,3.1121304118535718,3.4328902449765835,1.3876020052633002
2016-01-04,3.449135593269708,3.227122042752711,2.8115506039678184,3.67246992071292,1.940196501385071,2.730418778564184,3.3619400347199866,3.029134980219929,3.0597079139907617,1.1548882346228393,6.9246688309987,12.371691891545854,9.157019459855302,6.72556872268315,3.05668552446284,5.063112393986838,6.606705894336576,6.734653580202835,6.040954285482469,2.240755237590208,11.969444435733587,17.831002181877135,14.38735126157738,15.807823749149057,5.202738820582013,3.3331514265997493,3.0692738384789124,3.5395301135808896,4.207426213088825,1.6376614547926591,2.9415690280817204,2.9555523009560027,2.781370814106655,3.1474888438798376,1.296743128778271
2016-01-05,3.401118418330573,3.322711534110722,3.1686777085344597,2.4839004351146348,1.0,2.676719293573377,3.0403648445099654,3.12946430881768,3.153394015883791,1.095636413569241,6.3343197033541525,11.291739994693735,7.437354738281308,7.406531909269274,2.476108599135399,4.589711707948324,6.458876829316553,5.591415934659999,5.233348939185806,1.8885941486170967,10.755283560337638,14.452322958539192,10.686626361973572,9.480619505703498,2.7963485466638334,3.304805034223372,3.384334751601618,2.7072053604419697,2.638036163735216,1.0,2.821803636371393,3.201582067741617,2.908575095278363,2.748799481865054,1.2793322608306166
2016-01-06,3.448984770479822,3.012129242812968,3.253752229540184,3.630011556557573,1.3133988337950238,2.6107363654640623,2.744737869020641,2.6023029494836942,2.753954574997595,1.464664703868522,5.586262682220051,9.22763699219203,6.949879463580094,5.765819921050856,2.615965324204934,4.867533042397085,5.111469003173163,5.141637679280928,4.240625350443413,2.7921975063933733,8.8048265540412,9.383606980869253,7.914969521623636,6.908937934596104,3.839685566413245,3.022100346159907,2.914089950672677,2.8300874362366875,3.3638062200334256,1.6376614547926591,2.798985190747464,2.8313206919413094,2.6941055377795555,2.7188123184489674,1.0
2016-01-07,3.3149217139657017,2.961626668874648,2.5822394386918783,4.00520914254354,1.940196501385071,2.819729411903233,2.9320897872850358,2.8470940654020964,2.996849845344959,1.464664703868522,5.764179256846754,10.66228881384146,9.217697955882173,9.822239389878472,3.791210448151898,5.290387971300337,6.5693463549831534,6.441749203048802,8.421527580220834,2.7921975063933733,8.918130849134506,8.959480348171274,8.483963261114734,8.560139001795436,2.930978418050231,3.04666547906064,2.990633384464385,2.6233473778674425,2.919917838652643,1.797076818490824,3.04957878101068,2.980028647490801,2.723199343229173,2.9787248693500867,1.0
2016-01-08,3.0827432931681926,3.098608792063583,2.9076609192900444,3.384990108087468,1.557450403939067,2.626315288783442,2.7868353985093783,3.087098149201772,3.6520356108432015,1.1832754447025355,5.754373469195232,10.712401050905266,8.58603334324492,7.945868382853515,3.854007573973656,5.500006509076426,7.828172191765507,7.92682597792002,9.854987235056036,5.63722947435679,7.529775112542952,7.1576210634688255,6.604135960666197,9.41971174671882,4.075460333559071,2.944341693851665,2.9321425300542785,3.0347907024200254,4.790912588827598,1.5689446016983464,2.766534557386243,2.9643313142389496,2.6139411196880005,2.770948995329949,1.348440962512239
2016-01-09,3.718355131715645,3.1502273435117085,2.830980013819975,3.305615682178515,1.224187989218823,2.8131234747568232,3.1963811903842974,2.9009010382535525,3.0727651360079724,1.2972592333446853,6.05436005183634,10.465108860360615,7.505852862966131,6.195098724829746,2.552351792581085,5.698917823127104,7.011305584692179,6.102569124287131,6.109605473103519,2.613613555256516,7.645794813670797,7.415550590268531,6.163013182501185,5.891027879082136,1.9491353577301644,3.490365082111511,3.291880988489705,3.138030154050213,2.811483538912369,1.4520481927710835,3.085078062886201,3.143426768348238,2.572553607033257,2.6339186800322456,1.145562329589566
2016-01-10,3.557252680637179,3.2722172998225862,2.8883993946154782,6.5181042001789145,1.426362566161238,2.897226840099907,3.131195730215457,3.1078572307408967,4.758394700036189,1.5287498026467905,5.970210192583257,10.213590919675006,7.027233115602996,6.904505984526962,2.865880099120982,4.945114696922743,5.150223471372129,6.083421848594954,9.144738867903031,1.877729100238172,7.747909001188239,7.059775802094985,5.515458070002651,8.508720384399645,1.5930285614357618,3.2253411264736704,3.329409892168177,3.070915158976859,4.110621286545444,1.1078408829616004,2.872835066772125,3.0840780805672896,2.4886387626623514,4.140604365409581,1.3080157321910135
