date,name,20대,30대,40대,50대,60대 이상
2016-01-01,방어,5.906486486362983,7.14697627185933,6.614763944830633,14.358005102223427,3.340612845470168
2016-01-02,방어,6.48597198034435,9.34190098521868,10.622028956624131,17.45344087310194,7.4213697215849885
2016-01-03,방어,5.147320206329151,5.948592377825454,6.213011358087032,6.207539703806143,2.696208315936431
2016-01-04,방어,5.063112393986838,6.606705894336576,6.734653580202835,6.040954285482469,2.240755237590208
2016-01-05,방어,4.589711707948324,6.458876829316553,5.591415934659999,5.233348939185806,1.8885941486170972
2016-01-06,방어,4.867533042397085,5.111469003173163,5.141637679280928,4.240625350443413,2.7921975063933733
2016-01-07,방어,5.290387971300337,6.5693463549831534,6.441749203048802,8.421527580220834,2.7921975063933733
2016-01-08,방어,5.500006509076426,7.828172191765507,7.9268259779200205,9.854987235056036,5.63722947435679
2016-01-09,방어,5.698917823127104,7.011305584692179,6.102569124287131,6.109605473103519,2.613613555256516
2016-01-10,방어,4.945114696922743,5.150223471372129,6.083421848594954,9.144738867903033,1.877729100238172
2016-01-11,방어,4.263101284035521,6.546731903427232,5.517105520085247,7.446033615930057,5.377846064529799
2016-01-12,방어,4.82572207684688,6.6459050158584025,5.765167933662508,5.032577351323648,4.045463484576847
2016-01-13,방어,4.74288871811508,6.271797241904014,6.294481658965268,11.70984538428381,3.4815023689539557
2016-01-14,방어,5.061432070917629,6.348724830630731,9.34463694111855,7.452350820815808,4.198090589540933
2016-01-15,방어,4.857404698682944,5.456628506754367,6.2602737700230175,7.475103991629952,3.2840892193787403
2016-01-16,방어,4.764052644179157,5.3738161169064,6.397986330202003,4.655496204530325,2.903413278851549
2016-01-17,방어,4.752993436456714,4.943381851211765,4.60608085688493,7.698427934389278,1.7269484565676314
2016-01-18,방어,4.274587516565367,5.793653843225192,6.2956292409392525,6.611736315926859,1.7269484565676314
2016-01-19,방어,4.477900007317258,5.83667165686185,4.978966432896918,5.0011853660966485,3.3985679421557
2016-01-20,방어,4.47321708873545,6.158557448003216,6.343446775434181,6.112239693430108,2.5164723188785603
2016-01-21,방어,4.53558803437565,5.477553298501602,5.681501515170259,3.780153986513426,1.940353267677372
2016-01-22,방어,4.898397570191595,5.132877923577818,5.4622651183418185,6.679660028902638,2.903413278851549
2016-01-23,방어,5.071799349826783,5.500217093232563,5.44723506424607,5.330829446786161,2.170303555482485
2016-01-24,방어,4.562941024623086,5.618112784881719,5.694061052454021,6.58056760457536,3.5584649497224725
2016-01-25,방어,4.620952799969087,5.013831662996669,5.120623368162729,6.019378056033821,1.8271674563179885
2016-01-26,방어,4.5474344865877745,6.261889865679514,6.86989780520525,8.697260891603106,2.332891222925646
2016-01-27,방어,5.337762473185894,6.486778805439496,6.815143003918477,8.429140864136768,3.6193649627113618
2016-01-28,방어,3.9401922308249606,4.972946809793527,4.854781687522693,6.403925999801393,2.267830285398996
2016-01-29,방어,3.9437482707085767,5.807866526243147,5.509560629432584,6.5728165986818485,2.817367579378049
2016-01-30,방어,4.550647073540828,4.753716988668769,4.627673312122781,6.961737499265956,1.2823011548633183
2016-01-31,방어,4.461600394181581,4.294074977136104,4.570934000733821,3.663991704787753,1.959419654952006
2016-02-01,방어,4.352915759458144,4.861002318084268,4.5600754710343665,4.862399458834639,1.3241918236727954
2016-02-02,방어,3.9511595890243667,4.949876018070949,5.712121927666143,6.781886287571227,1.3241918236727954
2016-02-03,방어,4.081934627343114,4.774942551116523,4.678587567666007,4.270678408087413,1.5710195068267008
2016-02-04,방어,4.077361802455815,4.9521649446426785,4.267205436107222,5.38685084677928,2.2115783862520355
2016-02-05,방어,4.050961616268343,4.57307993771335,5.21464024212861,7.931669311565589,1.9650300500753948
2016-02-06,방어,4.007760669265114,4.932749612441619,4.57949857323265,5.110331449554365,1.8299580389497885
2016-02-07,방어,4.783579163534316,5.060856999353501,4.3448535065270475,4.60115817848175,1.9692669834508496
2016-02-08,방어,4.162777892955779,4.617817393726741,3.761183061392637,4.868020504365859,2.2115783862520355
2016-02-09,방어,4.540981211417947,4.0503198236618285,4.390208802629369,6.49027947612662,2.5129057674906843
2016-02-10,방어,4.020231452715068,4.236457915992885,4.357930646009805,4.179843172824249,2.1028926438328117
2016-02-11,방어,3.7609191996157803,4.327482391633714,5.0302189133302555,7.985797476529498,2.46288374523201
2016-02-12,방어,3.86213626708497,4.296622558705565,3.5980027033973663,3.9245379823132205,3.3508900808113973
2016-02-13,방어,3.5398230747117037,4.06801405193536,3.736256421800345,3.1964417269290024,1.432257882967258
2016-02-14,방어,4.984802205343609,7.004976948585292,7.427976700037252,9.500275140759594,4.032944637757111
2016-02-15,방어,3.8908858637553623,5.304254037417879,5.631966486150446,3.8729678165514025,2.7130697125520125
2016-02-16,방어,3.6699572910250993,4.064515881878947,4.6899627027927755,4.107948848539035,2.07278256007118
2016-02-17,방어,3.686170695647391,3.9752693802787213,4.410228259877046,4.546901930076188,1.8481077200092493
2016-02-18,방어,3.537042054231515,3.6220507279012217,3.2264880776936073,5.545288985722953,2.240755237590208
2016-02-19,방어,3.607662437196364,3.5226851243970803,3.391688049396481,4.33715182388583,1.3018017133002155
2016-02-20,방어,3.6492085675560837,3.945116857506483,4.1760341724063785,4.692562358305418,2.3323825799529523
2016-02-21,방어,3.7376793558373684,3.524207235892251,4.471581331534223,6.485962943710793,2.240755237590208
2016-02-22,방어,3.641596705936915,3.5241271662062843,3.5849159991774497,5.604190213201737,3.093756845151059
2016-02-23,방어,3.5728739501104014,3.6102866439405394,3.6507853356711726,3.8990829328936707,2.903413278851549
