날짜,참돔_대,참돔_중,참돔_소,d참돔_대,d참돔_중,d참돔_소
2018-03-31,18444,16580,13152,0.01463307295,0.0181148296,0.1431551499
2018-04-02,16574,14288,9572,-0.1013879853,-0.138238842,-0.2722019465
2018-04-03,16817,13510,10766,0.01466151804,-0.05445128779,0.1247388216
2018-04-04,17190,15904,14757,0.02217993697,0.1772020725,0.3707040684
2018-04-05,16947,14733,9621,-0.01413612565,-0.07362927565,-0.3480382192
2018-04-06,16449,12772,10256,-0.02938573199,-0.1331025589,0.06600145515
2018-04-07,17263,13910,9068,0.04948629096,0.08910115878,-0.1158346334
2018-04-09,16870,14045,8782,-0.02276545212,0.009705248023,-0.03153947949
2018-04-10,15674,9801,4661,-0.07089508002,-0.3021715913,-0.4692552949
2018-04-11,17227,13600,9016,0.0990812811,0.3876135088,0.9343488522
2018-04-12,18148,17356,15234,0.0534625878,0.2761764706,0.6896628217
2018-04-13,18221,17447,12144,0.004022481816,0.005243143581,-0.2028357621
2018-04-14,18170,16736,10208,-0.002798968223,-0.04075199175,-0.1594202899
2018-04-16,18316,13641,8262,0.008035222895,-0.1849306883,-0.1906347962
2018-04-17,17997,16663,12645,-0.01741646648,0.2215380104,0.5305010893
2018-04-18,16616,15985,15036,-0.07673501139,-0.04068895157,0.1890865955
2018-04-19,16308,12817,9497,-0.01853635051,-0.1981857992,-0.3683825486
2018-04-20,17464,15324,11246,0.07088545499,0.1955995943,0.18416342
2018-04-21,16885,14260,9389,-0.03315391663,-0.06943356826,-0.1651253779
2018-04-23,16465,12362,8194,-0.02487414865,-0.1330995792,-0.1272766003
2018-04-24,16820,10942,5663,0.02156088673,-0.1148681443,-0.3088845497
2018-04-25,18964,14912,11175,0.1274673008,0.3628221532,0.9733356878
2018-04-26,17694,16176,13357,-0.06696899388,0.0847639485,0.1952572707
2018-04-27,17309,14658,11298,-0.02175878829,-0.09384272997,-0.1541513813
2018-04-28,16793,14349,11114,-0.02981108094,-0.02108063856,-0.01628606833
2018-04-30,16510,14748,9569,-0.01685225987,0.02780681581,-0.1390138564
2018-05-01,13580,12125,9596,-0.1774682011,-0.1778546244,0.002821611454
2018-05-02,14344,11469,6280,0.05625920471,-0.05410309278,-0.3455606503
2018-05-03,15832,13296,10575,0.103736754,0.1592989799,0.6839171975
2018-05-04,16057,13662,11856,0.01421172309,0.02752707581,0.1211347518
2018-05-05,17640,15059,12190,0.09858628635,0.1022544283,0.02817139001
2018-05-07,17496,14521,12079,-0.008163265306,-0.03572614383,-0.009105824446
2018-05-08,19708,18031,12000,0.126428898,0.2417188899,-0.006540276513
2018-05-09,17098,15605,12019,-0.1324335295,-0.1345460596,0.001583333333
2018-05-10,17000,13111,9568,-0.005731664522,-0.1598205703,-0.2039271154
2018-05-11,16286,12540,9027,-0.042,-0.04355121654,-0.05654264214
2018-05-12,16286,12540,9027,0.0,0.0,0.0
2018-05-14,17348,15038,11347,0.06520938229,0.1992025518,0.2570067575
2018-05-15,15206,14059,10537,-0.1234724464,-0.06510174225,-0.07138450692
2018-05-16,14350,6117,4600,-0.05629356833,-0.564905043,-0.5634431052
2018-05-17,17016,13164,6759,0.1857839721,1.152035311,0.4693478261
2018-05-18,16210,15047,12435,-0.04736718383,0.1430416287,0.8397691966
2018-05-19,19063,17814,17138,0.1760024676,0.1838904765,0.3782066747
2018-05-21,16392,14912,7245,-0.1401143577,-0.1629055799,-0.5772552223
2018-05-22,15565,10992,3368,-0.05045143973,-0.2628755365,-0.5351276743
2018-05-23,14992,11577,6388,-0.03681336332,0.05322052402,0.8966745843
2018-05-24,17313,10267,7000,0.1548159018,-0.1131553943,0.09580463369
2018-05-25,17588,13467,10086,0.01588401779,0.3116781923,0.4408571429
2018-05-26,19069,15661,11866,0.08420513987,0.1629167595,0.1764822526
