지점,일시,풍속,GUST풍속,현지기압,습도,기온,수온,최대파고,유의파고,평균파고,파주기
22190,2018-02-12,9.799999999999999,14.270833333333334,1017.6958333333333,48.25,-0.6208333333333333,9.5,3.9,1.9583333333333333,1.3833333333333335,6.795833333333333
22190,2018-02-13,7.0874999999999995,10.641666666666667,1020.3166666666666,45.458333333333336,2.225,9.529166666666667,3.8,1.675,1.1833333333333333,6.333333333333333
22190,2018-02-14,8.391666666666667,11.558333333333332,1015.3958333333334,51.333333333333336,8.491666666666667,9.195833333333333,3.6,1.6541666666666668,1.1708333333333334,5.566666666666666
22190,2018-02-15,4.995833333333334,7.291666666666667,1019.6208333333334,57.625,5.3500000000000005,9.391666666666667,3.8,1.7125000000000001,1.2166666666666666,6.470833333333334
22190,2018-02-16,4.358333333333333,6.283333333333334,1015.2666666666668,43.583333333333336,6.4375,9.629166666666666,2.0,0.9375,0.6666666666666666,6.195833333333333
22190,2018-02-17,7.075,10.275,1018.2916666666666,42.0,3.9416666666666664,9.591666666666667,3.8,1.8272727272727274,1.2909090909090908,6.341666666666666
22190,2018-02-18,2.904166666666667,9.258333333333333,1024.3291666666667,43.708333333333336,4.608333333333333,9.316666666666666,2.8,1.2666666666666666,0.9083333333333333,7.508333333333333
22190,2018-02-19,2.2041666666666666,3.6791666666666667,1022.5124999999999,47.25,6.854166666666667,9.4625,2.5,1.1125,0.7916666666666666,9.091666666666667
22190,2018-02-20,3.5857142857142854,5.080952380952381,1020.2285714285714,46.142857142857146,7.495,9.70952380952381,1.9,0.9000000000000001,0.6523809523809524,6.49
22190,2018-02-21,6.408333333333334,9.129166666666666,1021.4499999999999,57.291666666666664,4.479166666666667,10.204166666666667,4.3,1.6916666666666667,1.1958333333333333,6.729166666666667
22190,2018-02-22,4.75,7.104166666666667,1021.225,40.708333333333336,4.941666666666666,9.683333333333334,2.0,0.9625,0.6791666666666667,5.879166666666666
22190,2018-02-23,7.5375000000000005,10.229166666666666,1020.5708333333333,52.708333333333336,7.7250000000000005,9.4625,2.7,0.9500000000000001,0.6666666666666666,4.1125
22190,2018-02-24,6.9125000000000005,9.295833333333333,1026.3541666666667,69.70833333333333,6.645833333333333,9.854166666666666,3.7,1.6083333333333334,1.1458333333333333,6.104166666666667
22190,2018-02-25,6.320833333333333,8.483333333333333,1024.5791666666667,80.95833333333333,7.05,9.674999999999999,3.4,1.7125000000000001,1.2125000000000001,6.558333333333334
22190,2018-02-26,6.116666666666667,8.429166666666667,1024.6666666666667,71.75,6.2250000000000005,9.279166666666667,2.9,1.45,1.0291666666666668,5.533333333333334
22190,2018-02-27,6.279166666666666,8.112499999999999,1022.6416666666668,66.79166666666667,8.954166666666667,9.299999999999999,2.1,0.9583333333333334,0.6791666666666667,4.808333333333334
